,country,origin,system,status,url,sysID,imageID,statusID,matID,Date
28,Russia,Soviet Union,T-72B,captured,https://i.postimg.cc/T3kpMkxx/52.jpg,3,26,2,7-3262,03/09/2022
55,Russia,Russia,T-72B3 Obr. 2016,destroyed,https://i.postimg.cc/jS8n67Hd/661.png,6,53,3,7-6533,03/09/2022
56,Russia,Russia,T-72B3 Obr. 2016,destroyed,https://i.postimg.cc/yx9rcK2s/g9.jpg,6,54,3,7-6543,03/09/2022
57,Russia,Russia,T-72B3 Obr. 2016,destroyed,https://i.postimg.cc/59FrZ5yT/g8.jpg,6,55,3,7-6553,03/09/2022
109,Russia,Russia,T-80U,abandoned,https://i.postimg.cc/5ys6P3S7/652.png,8,104,4,7-81044,03/09/2022
110,Russia,Russia,T-80U,destroyed,https://i.postimg.cc/5ys6P3S7/652.png,8,104,3,7-81043,03/09/2022
113,Russia,Russia,T-80U,captured,https://i.postimg.cc/Zq13p4Tf/4680.png,8,106,2,7-81062,03/09/2022
131,Russia,Russia,T-80BVM,destroyed,https://i.postimg.cc/mDjGfXz4/7763.png,10,123,3,7-101233,03/09/2022
158,Russia,Russia,Unknown tank,destroyed,https://i.postimg.cc/FKmnM11S/43fh.png,12,148,3,7-121483,03/09/2022
176,Russia,Soviet Union,MT-LB,destroyed,https://i.postimg.cc/y6m6zVCB/525.png,15,166,3,7-151663,03/09/2022
185,Russia,Soviet Union,MT-LB,abandoned,https://i.postimg.cc/yYY0Hk5C/73.jpg,15,174,4,7-151744,03/09/2022
215,Russia,Soviet Union,MT-LB,captured,https://i.postimg.cc/pLnGNjf0/77600.png,15,204,2,7-152042,03/09/2022
216,Russia,Soviet Union,MT-LB,captured,https://i.postimg.cc/tgm5kzZB/32f.png,15,205,2,7-152052,03/09/2022
288,Russia,Soviet Union,BMP-2,destroyed,https://i.postimg.cc/vTBYGndK/7760.png,30,274,3,7-302743,03/09/2022
321,Russia,Soviet Union,BMP-2,captured,https://i.postimg.cc/tJ0ZVgRD/6662.jpg,30,302,2,7-303022,03/09/2022
378,Russia,Soviet Union,-BMD 2.00,captured,https://i.postimg.cc/wvHJQgCV/d8.jpg,33,355,2,7-333552,03/09/2022
456,Russia,Soviet Union,BTR-D,captured,https://i.postimg.cc/5yGCVnLj/g42.jpg,37,427,2,7-374272,03/09/2022
460,Russia,Russia,BTR-MDM 'Rakusha',captured,https://i.postimg.cc/Jnrcqk0T/7764.png,38,431,2,7-384312,03/09/2022
466,Russia,Russia,K-53949 Typhoon-K 'Linza',captured,https://i.postimg.cc/cLxqfKhH/52o.png,42,437,2,7-424372,03/09/2022
571,Russia,Russia,120mm 2B11/2S12A,captured,https://i.postimg.cc/mrwKqRw8/Screenshot-8952.png,73,530,2,7-735302,03/09/2022
572,Russia,Russia,120mm 2B11/2S12A,captured,https://i.postimg.cc/SNc6Bh3F/524.png,73,531,2,7-735312,03/09/2022
573,Russia,Soviet Union,120mm 2B16 Nona-K howitzer,captured,https://i.postimg.cc/wx2TJysb/4f2.jpg,74,532,2,7-745322,03/09/2022
590,Russia,Soviet Union,120mm 2S9 Nona,captured,https://i.postimg.cc/Nfx4tqpS/5580.png,77,548,2,7-775482,03/09/2022
604,Russia,Soviet Union,152mm 2S19 Msta-S,abandoned,https://i.postimg.cc/YqhYV3pF/764.png,80,561,4,7-805614,03/09/2022
636,Russia,Soviet Union,9K33 Osa,damaged,https://i.postimg.cc/PxkdsRX3/438.png,86,588,1,7-865881,03/09/2022
637,Russia,Soviet Union,9K33 Osa,abandoned,https://i.postimg.cc/PxkdsRX3/438.png,86,588,4,7-865884,03/09/2022
729,Russia,Russia,Ural-4320,destroyed,https://i.postimg.cc/Xq15xBFb/542j.jpg,115,673,3,7-1156733,03/09/2022
916,Russia,Russia,KamAZ 6x6,captured,https://i.postimg.cc/W39WJvjf/4387.png,119,847,2,7-1198472,03/09/2022
932,Russia,Russia,UAZ-23632,captured,https://postimg.cc/XrK56zCd,125,860,2,7-1258602,03/09/2022
1063,Ukraine,Ukraine,BTR-4,captured,https://i.postimg.cc/3xL67hVR/557j.png,133,981,2,380-1339812,03/09/2022
1155,Ukraine,Soviet Union,Tu-141 reconnaissance UAV,destroyed,https://i.postimg.cc/tgvmF1fh/4f7.png,162,1068,3,380-16210683,03/09/2022
1157,Ukraine,Ukraine,Leleka-100 reconnaissance UAV,captured,https://i.postimg.cc/J7NmcVwY/6653.jpg,163,1070,2,380-16310702,03/09/2022
