"","country","origin","system","status","url","date_recorded","sysID","imageID","statusID","matID","Date"
"1","Russia","Soviet Union","T-62M","destroyed","https://twitter.com/UAWeapons/status/1544797070883684353","2022-09-03",1,1,1,"7-111","09/03/2022"
"2","Russia","Soviet Union","2 T-64A","destroyed","https://i.postimg.cc/fRWSdTBn/d32.png","2022-09-03",2,2,1,"7-221","09/03/2022"
"3","Russia","Soviet Union","2 T-64A","destroyed","https://twitter.com/UAWeapons/status/1561363838481666050","2022-09-03",2,3,1,"7-231","09/03/2022"
"4","Russia","Soviet Union","T-64BV","destroyed","https://i.postimg.cc/B63LSk6q/431v.png","2022-09-03",3,4,1,"7-341","09/03/2022"
"5","Russia","Soviet Union","T-64BV","destroyed","https://i.postimg.cc/zDKNSv0P/4431.png","2022-09-03",3,5,1,"7-351","09/03/2022"
"6","Russia","Soviet Union","T-64BV","destroyed","https://i.postimg.cc/vTVpDRV2/4fhh.png","2022-09-03",3,6,1,"7-361","09/03/2022"
"7","Russia","Soviet Union","T-64BV","destroyed","https://i.postimg.cc/nLkXCgJk/5gk.png","2022-09-03",3,7,1,"7-371","09/03/2022"
"8","Russia","Soviet Union","T-64BV","destroyed","https://i.postimg.cc/13SPjpnQ/325.png","2022-09-03",3,8,1,"7-381","09/03/2022"
"9","Russia","Soviet Union","T-64BV","destroyed","https://i.postimg.cc/Dm38Wx0v/669.png","2022-09-03",3,9,1,"7-391","09/03/2022"
"10","Russia","Soviet Union","T-64BV","destroyed","https://i.postimg.cc/cJd3fT2C/1001.jpg","2022-09-03",3,10,1,"7-3101","09/03/2022"
"11","Russia","Soviet Union","T-64BV","destroyed","https://i.postimg.cc/1581jxkd/b5.png","2022-09-03",3,11,1,"7-3111","09/03/2022"
"12","Russia","Soviet Union","T-64BV","destroyed","https://i.postimg.cc/Tw0Bjx5w/768.jpg","2022-09-03",3,12,1,"7-3121","09/03/2022"
"13","Russia","Soviet Union","T-64BV","destroyed","https://i.postimg.cc/3JVy55q6/d7.png","2022-09-03",3,13,1,"7-3131","09/03/2022"
"14","Russia","Soviet Union","T-64BV","destroyed","https://i.postimg.cc/MTWR5mFW/3dd2.png","2022-09-03",3,14,1,"7-3141","09/03/2022"
"15","Russia","Soviet Union","T-64BV","destroyed","https://i.postimg.cc/HnjRpt75/f2gh.jpg","2022-09-03",3,15,1,"7-3151","09/03/2022"
"16","Russia","Soviet Union","T-64BV","destroyed","https://i.postimg.cc/pTfSkjxd/23.jpg","2022-09-03",3,16,1,"7-3161","09/03/2022"
"17","Russia","Soviet Union","T-64BV","destroyed","https://i.postimg.cc/brCYNNH4/46.jpg","2022-09-03",3,17,1,"7-3171","09/03/2022"
"18","Russia","Soviet Union","T-64BV","destroyed","https://twitter.com/UAWeapons/status/1561363838481666050","2022-09-03",3,3,1,"7-331","09/03/2022"
"19","Russia","Soviet Union","T-64BV","destroyed","https://twitter.com/UAWeapons/status/1531973654313152515","2022-09-03",3,18,1,"7-3181","09/03/2022"
"20","Russia","Soviet Union","T-64BV","destroyed","https://i.postimg.cc/x1Ldg955/g55.jpg","2022-09-03",3,19,1,"7-3191","09/03/2022"
"21","Russia","Soviet Union","T-64BV","destroyed","https://twitter.com/UAWeapons/status/1534939583821107200","2022-09-03",3,20,1,"7-3201","09/03/2022"
"22","Russia","Soviet Union","T-64BV","destroyed","https://i.postimg.cc/W3f6ZSkK/3dg.png","2022-09-03",3,21,1,"7-3211","09/03/2022"
"23","Russia","Soviet Union","T-64BV","destroyed","https://twitter.com/UAWeapons/status/1539939158944358401","2022-09-03",3,22,1,"7-3221","09/03/2022"
"24","Russia","Soviet Union","T-64BV","destroyed","https://twitter.com/UAWeapons/status/1541049828288905218","2022-09-03",3,23,1,"7-3231","09/03/2022"
"25","Russia","Soviet Union","T-64BV","destroyed","https://twitter.com/UAWeapons/status/1546565537895006209","2022-09-03",3,24,1,"7-3241","09/03/2022"
"26","Russia","Soviet Union","T-64BV","destroyed","https://i.postimg.cc/t4vTP4WB/1001.jpg","2022-09-03",3,25,1,"7-3251","09/03/2022"
"27","Russia","Soviet Union","T-64BV","destroyed","https://i.postimg.cc/BvnT06jT/1002-t64bv.jpg","2022-09-03",3,26,1,"7-3261","09/03/2022"
"28","Russia","Soviet Union","T-64BV","destroyed","https://i.postimg.cc/rmv7hXSY/1000-t64bv.jpg","2022-09-03",3,27,1,"7-3271","09/03/2022"
"29","Russia","Soviet Union","T-64BV","destroyed","https://postlmg.cc/NL1NP1jq","2022-09-03",3,28,1,"7-3281","09/03/2022"
"30","Russia","Soviet Union","T-64BV","destroyed","https://i.postimg.cc/y6bmyjgM/1016-t64bv.jpg","2022-09-03",3,29,1,"7-3291","09/03/2022"
"31","Russia","Soviet Union","T-64BV","destroyed","https://i.postimg.cc/4yfhPvLm/1000.jpg","2022-09-03",3,30,1,"7-3301","09/03/2022"
"32","Russia","Soviet Union","T-64BV","damaged","https://postimg.cc/RqK9zGbg","2022-09-03",3,31,2,"7-3312","09/03/2022"
"33","Russia","Soviet Union","T-64BV","damaged","https://i.postimg.cc/SQYyjpnT/887.jpg","2022-09-03",3,32,2,"7-3322","09/03/2022"
"34","Russia","Soviet Union","T-64BV","abandoned","https://i.postimg.cc/2SxhnNXW/545.jpg","2022-09-03",3,33,3,"7-3333","09/03/2022"
"35","Russia","Soviet Union","T-64BV","abandoned","https://twitter.com/Osinttechnical/status/1543835821123534849","2022-09-03",3,34,3,"7-3343","09/03/2022"
"36","Russia","Soviet Union","T-64BV","captured","https://i.postimg.cc/rydk48wh/n0.png","2022-09-03",3,35,4,"7-3354","09/03/2022"
"37","Russia","Soviet Union","T-64BV","captured","https://i.postimg.cc/VL4dSdk8/32133.png","2022-09-03",3,36,4,"7-3364","09/03/2022"
"38","Russia","Soviet Union","T-64BV","damaged","https://i.postimg.cc/Gmh6ZzQv/31d.png","2022-09-03",3,37,2,"7-3372","09/03/2022"
"39","Russia","Soviet Union","T-64BV","captured","https://i.postimg.cc/Gmh6ZzQv/31d.png","2022-09-03",3,37,4,"7-3374","09/03/2022"
"40","Russia","Soviet Union","T-64BV","captured","https://i.postimg.cc/W4kWxSLT/7769.jpg","2022-09-03",3,38,4,"7-3384","09/03/2022"
"41","Russia","Soviet Union","T-64BV","captured","https://i.postimg.cc/v8J9YFfJ/1007.jpg","2022-09-03",3,39,4,"7-3394","09/03/2022"
"42","Russia","Soviet Union","T-72A","destroyed","https://i.postimg.cc/Prr1LXqZ/58.png","2022-09-03",4,40,1,"7-4401","09/03/2022"
"43","Russia","Soviet Union","T-72A","destroyed","https://i.postimg.cc/mrQPXJDB/e1.png","2022-09-03",4,41,1,"7-4411","09/03/2022"
"44","Russia","Soviet Union","T-72A","destroyed","https://i.postimg.cc/zBPksXf8/1000-t-72a.jpg","2022-09-03",4,42,1,"7-4421","09/03/2022"
"45","Russia","Soviet Union","T-72A","destroyed","https://i.postimg.cc/ZnhCrpqR/28.png","2022-09-03",4,43,1,"7-4431","09/03/2022"
"46","Russia","Soviet Union","T-72A","destroyed","https://i.postimg.cc/kX7BT8yc/65.jpg","2022-09-03",4,44,1,"7-4441","09/03/2022"
"47","Russia","Soviet Union","T-72A","destroyed","https://i.postimg.cc/Dy6Y8N89/g7.jpg","2022-09-03",4,45,1,"7-4451","09/03/2022"
"48","Russia","Soviet Union","T-72A","destroyed","https://i.postimg.cc/tg0SKYHf/2216.jpg","2022-09-03",4,46,1,"7-4461","09/03/2022"
"49","Russia","Soviet Union","T-72A","destroyed","https://i.postimg.cc/MG3NKhKh/1003.jpg","2022-09-03",4,47,1,"7-4471","09/03/2022"
"50","Russia","Soviet Union","T-72A","destroyed","https://i.postimg.cc/rwLTCjMW/554.jpg","2022-09-03",4,48,1,"7-4481","09/03/2022"
"51","Russia","Soviet Union","T-72A","destroyed","https://i.postimg.cc/bvVFDzy9/326.png","2022-09-03",4,49,1,"7-4491","09/03/2022"
"52","Russia","Soviet Union","T-72A","destroyed","https://twitter.com/UAWeapons/status/1545074010299547650","2022-09-03",4,50,1,"7-4501","09/03/2022"
"53","Russia","Soviet Union","T-72A","destroyed","https://i.postimg.cc/rw2xrW1L/1000-t72a.jpg","2022-09-03",4,51,1,"7-4511","09/03/2022"
"54","Russia","Soviet Union","T-72A","destroyed","https://i.postimg.cc/qB9j1Ns1/1001-t72a.jpg","2022-09-03",4,52,1,"7-4521","09/03/2022"
"55","Russia","Soviet Union","T-72A","destroyed","https://i.postimg.cc/2617wYVp/1021-t72a.jpg","2022-09-03",4,53,1,"7-4531","09/03/2022"
"56","Russia","Soviet Union","T-72A","damaged","https://i.postimg.cc/0jTSbC5M/1012.jpg","2022-09-03",4,54,2,"7-4542","09/03/2022"
"57","Russia","Soviet Union","T-72A","abandoned","https://i.postimg.cc/q7Pd3TMR/5g4.jpg","2022-09-03",4,55,3,"7-4553","09/03/2022"
"58","Russia","Soviet Union","T-72A","captured","https://i.postimg.cc/DfBZsDkg/558.png","2022-09-03",4,56,4,"7-4564","09/03/2022"
"59","Russia","Soviet Union","T-72A","captured","https://i.postimg.cc/tTk2850K/1d4.jpg","2022-09-03",4,57,4,"7-4574","09/03/2022"
"60","Russia","Soviet Union","T-72A","captured","https://i.postimg.cc/j283Hqqn/3d1d.png","2022-09-03",4,58,4,"7-4584","09/03/2022"
"61","Russia","Soviet Union","T-72A","captured","https://i.postimg.cc/pLZK95pC/6652.jpg","2022-09-03",4,59,4,"7-4594","09/03/2022"
"62","Russia","Soviet Union","T-72A","captured","https://i.postimg.cc/8zcL9Jbz/40.png","2022-09-03",4,60,4,"7-4604","09/03/2022"
"63","Russia","Soviet Union","T-72A","captured","https://i.postimg.cc/wMVfmqq2/499.png","2022-09-03",4,61,4,"7-4614","09/03/2022"
"64","Russia","Soviet Union","T-72A","captured","https://i.postimg.cc/gkg20f3r/ty.png","2022-09-03",4,62,4,"7-4624","09/03/2022"
"65","Russia","Soviet Union","T-72A","captured","https://i.postimg.cc/wB7PKkxS/f9.jpg","2022-09-03",4,63,4,"7-4634","09/03/2022"
"66","Russia","Soviet Union","T-72A","captured","https://i.postimg.cc/VkHjZR9j/266.png","2022-09-03",4,64,4,"7-4644","09/03/2022"
"67","Russia","Soviet Union","T-72A","captured","https://i.postimg.cc/BbJTW4Xw/44h.png","2022-09-03",4,65,4,"7-4654","09/03/2022"
"68","Russia","Soviet Union","T-72A","captured","https://i.postimg.cc/d18cYRk7/4f.jpg","2022-09-03",4,66,4,"7-4664","09/03/2022"
"69","Russia","Soviet Union","T-72A","captured","https://i.postimg.cc/HkMqRm4q/7j6.png","2022-09-03",4,67,4,"7-4674","09/03/2022"
"70","Russia","Soviet Union","T-72A","captured","https://i.postimg.cc/52nb5fqk/3222.jpg","2022-09-03",4,68,4,"7-4684","09/03/2022"
"71","Russia","Soviet Union","T-72A","captured","https://i.postimg.cc/JhJ6G2t4/5422.png","2022-09-03",4,69,4,"7-4694","09/03/2022"
"72","Russia","Soviet Union","8 T-72AV","destroyed","https://i.postimg.cc/Dz9N71pg/f5j.png","2022-09-03",5,70,1,"7-5701","09/03/2022"
"73","Russia","Soviet Union","8 T-72AV","destroyed","https://i.postimg.cc/nrvf8dH7/75.jpg","2022-09-03",5,71,1,"7-5711","09/03/2022"
"74","Russia","Soviet Union","8 T-72AV","destroyed","https://i.postimg.cc/3RNv9FcH/5547.jpg","2022-09-03",5,72,1,"7-5721","09/03/2022"
"75","Russia","Soviet Union","8 T-72AV","destroyed","https://i.postimg.cc/9XD3rDZP/1001-t-72av.jpg","2022-09-03",5,73,1,"7-5731","09/03/2022"
"76","Russia","Soviet Union","8 T-72AV","destroyed","https://i.postimg.cc/L5qn0rpP/1003-t72av.jpg","2022-09-03",5,74,1,"7-5741","09/03/2022"
"77","Russia","Soviet Union","8 T-72AV","damaged","https://i.postimg.cc/1RJLbc6f/689.png","2022-09-03",5,75,2,"7-5752","09/03/2022"
"78","Russia","Soviet Union","8 T-72AV","captured","https://i.postimg.cc/1RJLbc6f/689.png","2022-09-03",5,75,4,"7-5754","09/03/2022"
"79","Russia","Soviet Union","8 T-72AV","captured","https://i.postimg.cc/Y0ZfvWm2/d67.png","2022-09-03",5,76,4,"7-5764","09/03/2022"
"80","Russia","Soviet Union","8 T-72AV","captured","https://i.postimg.cc/HLP22qvC/4880.png","2022-09-03",5,77,4,"7-5774","09/03/2022"
"81","Russia","Soviet Union","T-72B","destroyed","https://i.postimg.cc/1XwLVN2J/1366.png","2022-09-03",6,78,1,"7-6781","09/03/2022"
"82","Russia","Soviet Union","T-72B","destroyed","https://i.postimg.cc/PJyDTMvz/3f.png","2022-09-03",6,79,1,"7-6791","09/03/2022"
"83","Russia","Soviet Union","T-72B","destroyed","https://i.postimg.cc/nVC3Hb5N/v90.png","2022-09-03",6,80,1,"7-6801","09/03/2022"
"84","Russia","Soviet Union","T-72B","destroyed","https://i.postimg.cc/1z0hr1Ck/5gg.png","2022-09-03",6,81,1,"7-6811","09/03/2022"
"85","Russia","Soviet Union","T-72B","destroyed","https://i.postimg.cc/T1X85D34/443fp.png","2022-09-03",6,82,1,"7-6821","09/03/2022"
"86","Russia","Soviet Union","T-72B","captured","https://i.postimg.cc/q78RX85k/v43.png","2022-09-03",6,83,4,"7-6834","09/03/2022"
"87","Russia","Soviet Union","T-72B","destroyed","https://i.postimg.cc/q78RX85k/v43.png","2022-09-03",6,83,1,"7-6831","09/03/2022"
"88","Russia","Soviet Union","T-72B","destroyed","https://i.postimg.cc/7LsDvrGm/b900.png","2022-09-03",6,84,1,"7-6841","09/03/2022"
"89","Russia","Soviet Union","T-72B","destroyed","https://i.postimg.cc/258nmcdH/443l.png","2022-09-03",6,85,1,"7-6851","09/03/2022"
"90","Russia","Soviet Union","T-72B","destroyed","https://i.postimg.cc/PJ6wWFCG/360.png","2022-09-03",6,86,1,"7-6861","09/03/2022"
"91","Russia","Soviet Union","T-72B","destroyed","https://i.postimg.cc/1z9rmbky/6r.png","2022-09-03",6,87,1,"7-6871","09/03/2022"
"92","Russia","Soviet Union","T-72B","destroyed","https://i.postimg.cc/13Sh2Bf1/581.png","2022-09-03",6,88,1,"7-6881","09/03/2022"
"93","Russia","Soviet Union","T-72B","destroyed","https://i.postimg.cc/NfHfvHzc/4678.png","2022-09-03",6,89,1,"7-6891","09/03/2022"
"94","Russia","Soviet Union","T-72B","destroyed","https://i.postimg.cc/4y1bhVKK/3588.png","2022-09-03",6,90,1,"7-6901","09/03/2022"
"95","Russia","Soviet Union","T-72B","destroyed","https://i.postimg.cc/LhdGMJ7x/7j0.jpg","2022-09-03",6,91,1,"7-6911","09/03/2022"
