"","country","origin","system","status","url","date_recorded","sysID","imageID","statusID","matID","Date"
"1","Russia","Soviet Union","T-62M","destroyed","https://twitter.com/UAWeapons/status/1544797070883684353","2022-10-01",1,1,1,"7-111","10/01/2022"
"2","Russia","Soviet Union","T-62M","destroyed","https://twitter.com/UAWeapons/status/1570762479357276162","2022-10-01",1,2,1,"7-121","10/01/2022"
"3","Russia","Soviet Union","T-62M","destroyed","https://twitter.com/UAWeapons/status/1572672235726573568","2022-10-01",1,3,1,"7-131","10/01/2022"
"4","Russia","Soviet Union","T-62M","abandoned","https://twitter.com/Blue_Sauron/status/1572563299576975361","2022-10-01",1,4,2,"7-142","10/01/2022"
"5","Russia","Soviet Union","T-62M","captured","https://twitter.com/UAWeapons/status/1570054722563997698","2022-10-01",1,5,3,"7-153","10/01/2022"
"6","Russia","Soviet Union","2 T-64A","destroyed","https://i.postimg.cc/fRWSdTBn/d32.png","2022-10-01",2,6,1,"7-261","10/01/2022"
"7","Russia","Soviet Union","2 T-64A","destroyed","https://twitter.com/UAWeapons/status/1561363838481666050","2022-10-01",2,7,1,"7-271","10/01/2022"
"8","Russia","Soviet Union","T-64BV","destroyed","https://i.postimg.cc/B63LSk6q/431v.png","2022-10-01",3,8,1,"7-381","10/01/2022"
"9","Russia","Soviet Union","T-64BV","destroyed","https://i.postimg.cc/zDKNSv0P/4431.png","2022-10-01",3,9,1,"7-391","10/01/2022"
"10","Russia","Soviet Union","T-64BV","destroyed","https://i.postimg.cc/vTVpDRV2/4fhh.png","2022-10-01",3,10,1,"7-3101","10/01/2022"
"11","Russia","Soviet Union","T-64BV","destroyed","https://i.postimg.cc/nLkXCgJk/5gk.png","2022-10-01",3,11,1,"7-3111","10/01/2022"
"12","Russia","Soviet Union","T-64BV","destroyed","https://i.postimg.cc/13SPjpnQ/325.png","2022-10-01",3,12,1,"7-3121","10/01/2022"
"13","Russia","Soviet Union","T-64BV","destroyed","https://i.postimg.cc/Dm38Wx0v/669.png","2022-10-01",3,13,1,"7-3131","10/01/2022"
"14","Russia","Soviet Union","T-64BV","destroyed","https://i.postimg.cc/cJd3fT2C/1001.jpg","2022-10-01",3,14,1,"7-3141","10/01/2022"
"15","Russia","Soviet Union","T-64BV","destroyed","https://i.postimg.cc/1581jxkd/b5.png","2022-10-01",3,15,1,"7-3151","10/01/2022"
"16","Russia","Soviet Union","T-64BV","destroyed","https://i.postimg.cc/6q8wYjYT/1007-t64bv.jpg","2022-10-01",3,16,1,"7-3161","10/01/2022"
"17","Russia","Soviet Union","T-64BV","destroyed","https://i.postimg.cc/Tw0Bjx5w/768.jpg","2022-10-01",3,17,1,"7-3171","10/01/2022"
"18","Russia","Soviet Union","T-64BV","destroyed","https://i.postimg.cc/3JVy55q6/d7.png","2022-10-01",3,18,1,"7-3181","10/01/2022"
"19","Russia","Soviet Union","T-64BV","destroyed","https://i.postimg.cc/MTWR5mFW/3dd2.png","2022-10-01",3,19,1,"7-3191","10/01/2022"
"20","Russia","Soviet Union","T-64BV","destroyed","https://i.postimg.cc/HnjRpt75/f2gh.jpg","2022-10-01",3,20,1,"7-3201","10/01/2022"
"21","Russia","Soviet Union","T-64BV","destroyed","https://i.postimg.cc/pTfSkjxd/23.jpg","2022-10-01",3,21,1,"7-3211","10/01/2022"
"22","Russia","Soviet Union","T-64BV","destroyed","https://i.postimg.cc/brCYNNH4/46.jpg","2022-10-01",3,22,1,"7-3221","10/01/2022"
"23","Russia","Soviet Union","T-64BV","destroyed","https://twitter.com/UAWeapons/status/1561363838481666050","2022-10-01",3,7,1,"7-371","10/01/2022"
"24","Russia","Soviet Union","T-64BV","destroyed","https://twitter.com/UAWeapons/status/1531973654313152515","2022-10-01",3,23,1,"7-3231","10/01/2022"
"25","Russia","Soviet Union","T-64BV","destroyed","https://i.postimg.cc/x1Ldg955/g55.jpg","2022-10-01",3,24,1,"7-3241","10/01/2022"
"26","Russia","Soviet Union","T-64BV","destroyed","https://twitter.com/UAWeapons/status/1534939583821107200","2022-10-01",3,25,1,"7-3251","10/01/2022"
"27","Russia","Soviet Union","T-64BV","destroyed","https://i.postimg.cc/W3f6ZSkK/3dg.png","2022-10-01",3,26,1,"7-3261","10/01/2022"
"28","Russia","Soviet Union","T-64BV","destroyed","https://twitter.com/UAWeapons/status/1539939158944358401","2022-10-01",3,27,1,"7-3271","10/01/2022"
"29","Russia","Soviet Union","T-64BV","destroyed","https://twitter.com/UAWeapons/status/1541049828288905218","2022-10-01",3,28,1,"7-3281","10/01/2022"
"30","Russia","Soviet Union","T-64BV","destroyed","https://twitter.com/UAWeapons/status/1546565537895006209","2022-10-01",3,29,1,"7-3291","10/01/2022"
"31","Russia","Soviet Union","T-64BV","destroyed","https://i.postimg.cc/t4vTP4WB/1001.jpg","2022-10-01",3,30,1,"7-3301","10/01/2022"
"32","Russia","Soviet Union","T-64BV","destroyed","https://i.postimg.cc/BvnT06jT/1002-t64bv.jpg","2022-10-01",3,31,1,"7-3311","10/01/2022"
"33","Russia","Soviet Union","T-64BV","destroyed","https://i.postimg.cc/rmv7hXSY/1000-t64bv.jpg","2022-10-01",3,32,1,"7-3321","10/01/2022"
"34","Russia","Soviet Union","T-64BV","destroyed","https://postlmg.cc/NL1NP1jq","2022-10-01",3,33,1,"7-3331","10/01/2022"
"35","Russia","Soviet Union","T-64BV","destroyed","https://i.postimg.cc/y6bmyjgM/1016-t64bv.jpg","2022-10-01",3,34,1,"7-3341","10/01/2022"
"36","Russia","Soviet Union","T-64BV","destroyed","https://i.postimg.cc/8k7tNFWS/1000-t72b.jpg","2022-10-01",3,35,1,"7-3351","10/01/2022"
"37","Russia","Soviet Union","T-64BV","damaged","https://postimg.cc/RqK9zGbg","2022-10-01",3,36,4,"7-3364","10/01/2022"
"38","Russia","Soviet Union","T-64BV","damaged","https://i.postimg.cc/SQYyjpnT/887.jpg","2022-10-01",3,37,4,"7-3374","10/01/2022"
"39","Russia","Soviet Union","T-64BV","abandoned","https://i.postimg.cc/2SxhnNXW/545.jpg","2022-10-01",3,38,2,"7-3382","10/01/2022"
"40","Russia","Soviet Union","T-64BV","abandoned","https://twitter.com/Osinttechnical/status/1543835821123534849","2022-10-01",3,39,2,"7-3392","10/01/2022"
"41","Russia","Soviet Union","T-64BV","captured","https://i.postimg.cc/rydk48wh/n0.png","2022-10-01",3,40,3,"7-3403","10/01/2022"
"42","Russia","Soviet Union","T-64BV","captured","https://i.postimg.cc/VL4dSdk8/32133.png","2022-10-01",3,41,3,"7-3413","10/01/2022"
"43","Russia","Soviet Union","T-64BV","damaged","https://i.postimg.cc/Gmh6ZzQv/31d.png","2022-10-01",3,42,4,"7-3424","10/01/2022"
"44","Russia","Soviet Union","T-64BV","captured","https://i.postimg.cc/Gmh6ZzQv/31d.png","2022-10-01",3,42,3,"7-3423","10/01/2022"
"45","Russia","Soviet Union","T-64BV","captured","https://i.postimg.cc/W4kWxSLT/7769.jpg","2022-10-01",3,43,3,"7-3433","10/01/2022"
"46","Russia","Soviet Union","T-64BV","captured","https://i.postimg.cc/v8J9YFfJ/1007.jpg","2022-10-01",3,44,3,"7-3443","10/01/2022"
"47","Russia","Soviet Union","T-72A","destroyed","https://i.postimg.cc/Prr1LXqZ/58.png","2022-10-01",4,45,1,"7-4451","10/01/2022"
"48","Russia","Soviet Union","T-72A","destroyed","https://i.postimg.cc/mrQPXJDB/e1.png","2022-10-01",4,46,1,"7-4461","10/01/2022"
"49","Russia","Soviet Union","T-72A","destroyed","https://i.postimg.cc/zBPksXf8/1000-t-72a.jpg","2022-10-01",4,47,1,"7-4471","10/01/2022"
"50","Russia","Soviet Union","T-72A","destroyed","https://i.postimg.cc/ZnhCrpqR/28.png","2022-10-01",4,48,1,"7-4481","10/01/2022"
"51","Russia","Soviet Union","T-72A","destroyed","https://i.postimg.cc/kX7BT8yc/65.jpg","2022-10-01",4,49,1,"7-4491","10/01/2022"
"52","Russia","Soviet Union","T-72A","destroyed","https://i.postimg.cc/Dy6Y8N89/g7.jpg","2022-10-01",4,50,1,"7-4501","10/01/2022"
"53","Russia","Soviet Union","T-72A","destroyed","https://i.postimg.cc/tg0SKYHf/2216.jpg","2022-10-01",4,51,1,"7-4511","10/01/2022"
"54","Russia","Soviet Union","T-72A","destroyed","https://i.postimg.cc/MG3NKhKh/1003.jpg","2022-10-01",4,52,1,"7-4521","10/01/2022"
"55","Russia","Soviet Union","T-72A","destroyed","https://i.postimg.cc/rwLTCjMW/554.jpg","2022-10-01",4,53,1,"7-4531","10/01/2022"
"56","Russia","Soviet Union","T-72A","destroyed","https://i.postimg.cc/bvVFDzy9/326.png","2022-10-01",4,54,1,"7-4541","10/01/2022"
"57","Russia","Soviet Union","T-72A","destroyed","https://twitter.com/UAWeapons/status/1545074010299547650","2022-10-01",4,55,1,"7-4551","10/01/2022"
"58","Russia","Soviet Union","T-72A","destroyed","https://i.postimg.cc/rw2xrW1L/1000-t72a.jpg","2022-10-01",4,56,1,"7-4561","10/01/2022"
"59","Russia","Soviet Union","T-72A","destroyed","https://i.postimg.cc/qB9j1Ns1/1001-t72a.jpg","2022-10-01",4,57,1,"7-4571","10/01/2022"
"60","Russia","Soviet Union","T-72A","destroyed","https://i.postimg.cc/2617wYVp/1021-t72a.jpg","2022-10-01",4,58,1,"7-4581","10/01/2022"
"61","Russia","Soviet Union","T-72A","damaged","https://i.postimg.cc/0jTSbC5M/1012.jpg","2022-10-01",4,59,4,"7-4594","10/01/2022"
"62","Russia","Soviet Union","T-72A","abandoned","https://i.postimg.cc/q7Pd3TMR/5g4.jpg","2022-10-01",4,60,2,"7-4602","10/01/2022"
"63","Russia","Soviet Union","T-72A","captured","https://i.postimg.cc/DfBZsDkg/558.png","2022-10-01",4,61,3,"7-4613","10/01/2022"
"64","Russia","Soviet Union","T-72A","captured","https://i.postimg.cc/tTk2850K/1d4.jpg","2022-10-01",4,62,3,"7-4623","10/01/2022"
"65","Russia","Soviet Union","T-72A","captured","https://i.postimg.cc/j283Hqqn/3d1d.png","2022-10-01",4,63,3,"7-4633","10/01/2022"
"66","Russia","Soviet Union","T-72A","captured","https://i.postimg.cc/pLZK95pC/6652.jpg","2022-10-01",4,64,3,"7-4643","10/01/2022"
"67","Russia","Soviet Union","T-72A","captured","https://i.postimg.cc/8zcL9Jbz/40.png","2022-10-01",4,65,3,"7-4653","10/01/2022"
"68","Russia","Soviet Union","T-72A","captured","https://i.postimg.cc/wMVfmqq2/499.png","2022-10-01",4,66,3,"7-4663","10/01/2022"
"69","Russia","Soviet Union","T-72A","captured","https://i.postimg.cc/gkg20f3r/ty.png","2022-10-01",4,67,3,"7-4673","10/01/2022"
"70","Russia","Soviet Union","T-72A","captured","https://i.postimg.cc/wB7PKkxS/f9.jpg","2022-10-01",4,68,3,"7-4683","10/01/2022"
"71","Russia","Soviet Union","T-72A","captured","https://i.postimg.cc/VkHjZR9j/266.png","2022-10-01",4,69,3,"7-4693","10/01/2022"
"72","Russia","Soviet Union","T-72A","captured","https://i.postimg.cc/BbJTW4Xw/44h.png","2022-10-01",4,70,3,"7-4703","10/01/2022"
"73","Russia","Soviet Union","T-72A","captured","https://i.postimg.cc/d18cYRk7/4f.jpg","2022-10-01",4,71,3,"7-4713","10/01/2022"
