"","country","system","abandoned","damaged","destroyed","captured","total","Date"
"54","Ukraine","1 Avenger",0,0,1,0,1,"03/05/2024"
"55","Ukraine","1 BATT UMG",0,1,0,0,1,"03/05/2024"
"56","Ukraine","1 BMP-1U 'Shkval'",0,0,1,0,1,"03/05/2024"
"57","Ukraine","1 BMP-1U Shkval",0,0,0,1,1,"03/05/2024"
"58","Ukraine","1 BMR-2 mine-clearing tank",1,0,0,0,1,"03/05/2024"
"59","Ukraine","1 BTR-60PB",0,1,0,0,1,"03/05/2024"
"60","Ukraine","1 BTR-60PU-12command vehicle",0,0,0,1,1,"03/05/2024"
"61","Ukraine","1 BTR-80 with 57mm UB-32 unguided aircraft rocket pods",0,1,0,0,1,"03/05/2024"
"62","Ukraine","1 BTR-80-based ZS-88 PsyOps vehicle",0,0,1,0,1,"03/05/2024"
"63","Ukraine","1 BTR-90",1,1,0,0,2,"03/05/2024"
"64","Ukraine","1 BTR-ZD Skrezhet",0,0,1,1,2,"03/05/2024"
"65","Ukraine","1 Bandvagn BvS 10",0,0,1,0,1,"03/05/2024"
"66","Ukraine","1 Bergepanzer 2 armoured recovery vehicle",0,1,0,0,1,"03/05/2024"
"67","Ukraine","1 Command post (for 'Torn(-MDM)' signals intelligence system)",0,0,0,1,1,"03/05/2024"
"68","Ukraine","1 Command vehicle for Podlet-K1 low-altitude S-band surveillance radar",0,0,1,0,1,"03/05/2024"
"69","Ukraine","1 Downgraded Mowag Eagle II",0,0,1,0,1,"03/05/2024"
"70","Ukraine","1 ED2x30-T400-3RA mobile generator",0,1,0,0,1,"03/05/2024"
"71","Ukraine","1 Eleron T-16",0,0,0,1,1,"03/05/2024"
"72","Ukraine","1 Eleron-3SV",0,0,1,0,1,"03/05/2024"
"73","Ukraine","1 Elf",0,0,1,0,1,"03/05/2024"
"74","Ukraine","1 Forpost-RU",0,0,1,0,1,"03/05/2024"
"75","Ukraine","1 GAZ-3307",0,0,1,0,1,"03/05/2024"
"76","Ukraine","1 GAZ-3937 Vodnik",0,0,0,1,1,"03/05/2024"
"77","Ukraine","1 GAZ-51",0,0,0,1,1,"03/05/2024"
"78","Ukraine","1 GAZ-66 with Zu-23-2",0,0,1,0,1,"03/05/2024"
"79","Ukraine","1 Granat-3",0,0,1,0,1,"03/05/2024"
"80","Ukraine","1 Grifon-12",0,0,0,1,1,"03/05/2024"
"81","Ukraine","1 HMMWV with MRLS",0,0,1,0,1,"03/05/2024"
"82","Ukraine","1 IMR-1 combat engineering vehicle",0,0,1,0,1,"03/05/2024"
"83","Ukraine","1 IRM 'Zhuk' engineer reconnaissance vehicle",0,0,0,1,1,"03/05/2024"
"84","Ukraine","1 Iveco Magirus 90-16 AW 4x4",0,0,1,0,1,"03/05/2024"
"85","Ukraine","1 KamAZ 8x8 tanker",0,0,1,0,1,"03/05/2024"
"86","Ukraine","1 KamAZ Patrol",0,0,1,0,1,"03/05/2024"
"87","Ukraine","1 KamAZ tank low-loader",0,0,1,0,1,"03/05/2024"
"88","Ukraine","1 KamAZ-63501 with KS-55729-7M 32-ton crane",0,0,1,0,1,"03/05/2024"
"89","Ukraine","1 KrAZ-214",0,0,1,0,1,"03/05/2024"
"90","Ukraine","1 KrAZ-255B with KS-3575 crane",0,0,1,0,1,"03/05/2024"
"91","Ukraine","1 KrAZ-260",0,0,1,0,1,"03/05/2024"
"92","Ukraine","1 KrAZ-260 KT-L recovery vehicle",0,0,1,0,1,"03/05/2024"
"93","Ukraine","1 KrAZ-6322 Master mobile workshop",0,0,0,1,1,"03/05/2024"
"94","Ukraine","1 KrAZ-65055",0,0,1,0,1,"03/05/2024"
"95","Ukraine","1 KrAZ-Forpost",0,0,1,0,1,"03/05/2024"
"96","Ukraine","1 LAV Super Bison",0,0,1,0,1,"03/05/2024"
"97","Ukraine","1 Lancet loitering munition launcher and control station",0,0,1,0,1,"03/05/2024"
"98","Ukraine","1 Leopard 1A5",0,1,0,0,1,"03/05/2024"
"99","Ukraine","1 M58 MICLIC mine clearing system",0,0,1,0,1,"03/05/2024"
"100","Ukraine","1 MAN KAT 4x4",0,0,1,0,1,"03/05/2024"
"101","Ukraine","1 MAZ AC-8-500A Tanker",0,0,1,0,1,"03/05/2024"
"102","Ukraine","1 MAZ TZ-500 tanker",0,0,1,0,1,"03/05/2024"
"103","Ukraine","1 MT-LB with 14.5mm 2M-7 naval gun mount",0,0,0,1,1,"03/05/2024"
"104","Ukraine","1 MT-LB with 25mm 2M-3 naval gun",0,0,1,0,1,"03/05/2024"
"105","Ukraine","1 MT-LB with 85mm D-44 gun",0,0,1,0,1,"03/05/2024"
"106","Ukraine","1 MT-LB with AZP S-60 AA gun",0,0,1,0,1,"03/05/2024"
"107","Ukraine","1 MT-LB with BPU-1 turret",0,0,1,0,1,"03/05/2024"
"108","Ukraine","1 MT-LB-AT",0,0,1,0,1,"03/05/2024"
"109","Ukraine","1 MT-T multi-purpose tracked transporter",0,1,0,0,1,"03/05/2024"
"110","Ukraine","1 MTO-AG-3M mobile workshop",0,0,1,0,1,"03/05/2024"
"111","Ukraine","1 MTO-UB2 maintenance vehicle",0,0,1,0,1,"03/05/2024"
"112","Ukraine","1 Mobile generator for Podlet-K1 low-altitude S-band surveillance radar",0,0,1,0,1,"03/05/2024"
"113","Ukraine","1 NASAMS launcher",0,0,1,0,1,"03/05/2024"
"114","Ukraine","1 NN199",0,0,1,0,1,"03/05/2024"
"115","Ukraine","1 Oncilla",0,0,1,0,1,"03/05/2024"
"116","Ukraine","1 Orlan-10 UAV control station",0,0,1,0,1,"03/05/2024"
"117","Ukraine","1 P-18T surveillance radar",0,0,1,0,1,"03/05/2024"
"118","Ukraine","1 P-240 digital communications vehicle",0,0,1,0,1,"03/05/2024"
"119","Ukraine","1 P-260 Redut-2US communication system",0,0,1,0,1,"03/05/2024"
"120","Ukraine","1 P-37 'Mech' early warning radar",0,0,0,1,1,"03/05/2024"
"121","Ukraine","1 PAK-200M mobile field kitchen",0,0,0,1,1,"03/05/2024"
"122","Ukraine","1 PRP-4A Argus artillery reconnaissance vehicle",0,0,0,1,1,"03/05/2024"
"123","Ukraine","1 PRV-16ML height-finder radar",0,0,1,0,1,"03/05/2024"
"124","Ukraine","1 PZM-2 trench-digging vehicle",0,0,0,1,1,"03/05/2024"
"125","Ukraine","1 Plastun-RP3000 MTDFS",0,0,1,0,1,"03/05/2024"
"126","Ukraine","1 Plastun-SN",0,0,1,0,1,"03/05/2024"
"127","Ukraine","1 Predel coastal defence radar",0,0,1,0,1,"03/05/2024"
"128","Ukraine","1 Primoco One 150",0,0,1,0,1,"03/05/2024"
"129","Ukraine","1 Project 1176 Ondatra-class landing craft",0,1,0,0,1,"03/05/2024"
"130","Ukraine","1 Project 12411 Tarantul-III-class corvette",0,0,1,0,1,"03/05/2024"
"131","Ukraine","1 Project 1258 Yevgenya-class minesweeper",0,0,1,0,1,"03/05/2024"
"132","Ukraine","1 Project 22800 Karakurt-class corvette",0,0,1,0,1,"03/05/2024"
"133","Ukraine","1 Project 266M Natya-class minesweeper",0,1,0,0,1,"03/05/2024"
"134","Ukraine","1 Project 58181 Centaur-class fast assault boat",0,0,1,0,1,"03/05/2024"
"135","Ukraine","1 Quantum Vector UAV",0,0,1,0,1,"03/05/2024"
"136","Ukraine","1 R-145BM command vehicle",0,0,0,1,1,"03/05/2024"
"137","Ukraine","1 R-145BMA command vehicle",0,0,1,1,2,"03/05/2024"
"138","Ukraine","1 R-161 signals vehicle",0,0,1,0,1,"03/05/2024"
"139","Ukraine","1 R-325BMV jamming station",0,0,1,0,1,"03/05/2024"
"140","Ukraine","1 R-330M1P Diabazol",0,0,1,0,1,"03/05/2024"
"141","Ukraine","1 R-405M radio station vehicle",0,0,1,0,1,"03/05/2024"
"142","Ukraine","1 R-409A radio station vehicle",0,0,1,0,1,"03/05/2024"
"143","Ukraine","1 R-441 SatCom station",0,0,1,0,1,"03/05/2024"
"144","Ukraine","1 R-845 radio station",0,0,1,0,1,"03/05/2024"
"145","Ukraine","1 RB-109A Bylina EW system",0,0,1,0,1,"03/05/2024"
"146","Ukraine","1 RP-377LA Lorandit",0,0,1,0,1,"03/05/2024"
"147","Ukraine","1 RQ-35 Heidrun",0,0,1,0,1,"03/05/2024"
"148","Ukraine","1 Radio relay station for the TB2 UCAV",0,0,1,0,1,"03/05/2024"
"149","Ukraine","1 Raybird-3",0,0,1,0,1,"03/05/2024"
"150","Ukraine","1 Renault TRM-2000",0,0,1,0,1,"03/05/2024"
"151","Ukraine","1 SkyGuard Aspide control station",0,0,1,0,1,"03/05/2024"
"152","Ukraine","1 Sobolyatnik 1L277 portable ground reconnaissance radar",0,0,1,0,1,"03/05/2024"
"153","Ukraine","1 Su-24MR tactical reconnaissance aircraft",0,0,1,0,1,"03/05/2024"
"154","Ukraine","1 Su-34M strike aircraft",0,0,1,0,1,"03/05/2024"
"155","Ukraine","1 Support vehicle (for 'Torn(-MDM)' signals intelligence system)",0,0,0,1,1,"03/05/2024"
"156","Ukraine","1 Sych",0,0,1,0,1,"03/05/2024"
"157","Ukraine","1 T-90AK",0,0,0,1,1,"03/05/2024"
"158","Ukraine","1 TDA-M mobile smoke generator",0,0,1,0,1,"03/05/2024"
"159","Ukraine","1 TMM-3M1 bridge layer",0,0,0,1,1,"03/05/2024"
"160","Ukraine","1 TRML-4D multi-functional radar (for IRIS-T SLM)",0,1,0,0,1,"03/05/2024"
"161","Ukraine","1 TZM 9T234-2 transporter-loader (for BM-30 Smerch)",0,0,1,0,1,"03/05/2024"
"162","Ukraine","1 Tu-95MS strategic bomber",0,1,0,0,1,"03/05/2024"
"163","Ukraine","1 UAZ-3151",0,0,1,0,1,"03/05/2024"
"164","Ukraine","1 UAZ-31514",0,0,0,1,1,"03/05/2024"
"165","Ukraine","1 UAZ-3153",0,0,1,0,1,"03/05/2024"
"166","Ukraine","1 UAZ-515195 'Esaul'",0,0,1,0,1,"03/05/2024"
"167","Ukraine","1 UMP-350 engine heater",0,0,0,1,1,"03/05/2024"
"168","Ukraine","1 UMS-600 patrol boat (Sea Guard)",0,0,0,1,1,"03/05/2024"
"169","Ukraine","1 UR-77 Meteorit",0,0,1,0,1,"03/05/2024"
"170","Ukraine","1 Unknown BMP-3 or BMD-4M",0,0,1,0,1,"03/05/2024"
"171","Ukraine","1 Unknown UAV control station",0,0,1,0,1,"03/05/2024"
"172","Ukraine","1 Unknown artillery command vehicle based on MT-LBu",0,0,0,1,1,"03/05/2024"
"173","Ukraine","1 Unknown boat",0,1,0,0,1,"03/05/2024"
"174","Ukraine","1 Unknown command vehicle on GAZ Tigr chassis",0,0,1,0,1,"03/05/2024"
"175","Ukraine","1 Unknown fighter jet",0,0,2,0,2,"03/05/2024"
"176","Ukraine","1 Unknown patrol boat (Sea Guard)",0,0,0,1,1,"03/05/2024"
"177","Ukraine","1 Unknown vehicle with unidentified radar or electronic warfare equipment",0,0,1,0,1,"03/05/2024"
"178","Ukraine","1 Ural-375D tanker",0,0,0,1,1,"03/05/2024"
"179","Ukraine","1 Ural-375D with 8T210 crane",0,0,0,1,1,"03/05/2024"
"180","Ukraine","1 Ural-4320 with Zu-23-2",0,0,1,0,1,"03/05/2024"
"181","Ukraine","1 Ural-43206 with 23mm ZU-23-2",0,0,1,0,1,"03/05/2024"
"182","Ukraine","1 Ural-63501-AT",0,0,1,0,1,"03/05/2024"
"183","Ukraine","1 Uran-6 mine-clearing robotic system",0,0,1,0,1,"03/05/2024"
"184","Ukraine","1 Wisent 1 mine-clearing tank",0,0,1,0,1,"03/05/2024"
"185","Ukraine","1 ZSA-<U+0422> Armoured Ambulance",0,1,0,0,1,"03/05/2024"
"186","Ukraine","1 ZiL-4331",0,0,0,1,1,"03/05/2024"
"187","Ukraine","10 Su-24M/MR strike/tactical reconnaissance aircraft",0,3,4,0,7,"03/05/2024"
"188","Ukraine","10 UAZ-3303",0,1,8,1,10,"03/05/2024"
"189","Ukraine","10 Unknown HMMWV variant",0,0,9,1,10,"03/05/2024"
"190","Ukraine","100mm BS-3 anti-tank gun",0,0,1,2,3,"03/05/2024"
"191","Ukraine","101 122mm 2S1 Gvozdika",0,16,70,12,98,"03/05/2024"
"192","Ukraine","109 UAZ-452 van",2,12,84,14,112,"03/05/2024"
"193","Ukraine","11 AS-4350 medical vehicle",0,0,8,3,11,"03/05/2024"
"194","Ukraine","11 FMTV M1083A1P2",1,1,9,0,11,"03/05/2024"
"195","Ukraine","11 MP-1IM signals vehicle",0,0,8,3,11,"03/05/2024"
"196","Ukraine","11 RKhM-6 Povozka CBRN reconnaissance vehicle",0,0,10,1,11,"03/05/2024"
"197","Ukraine","11 River link pontoon (for unknown floating bridge system)",0,0,2,9,11,"03/05/2024"
"198","Ukraine","11 Su-30SM multirole aircraft",0,1,8,0,9,"03/05/2024"
"199","Ukraine","112 BTR-80",1,3,71,29,104,"03/05/2024"
"200","Ukraine","117 T-80BVM",3,15,72,34,124,"03/05/2024"
"201","Ukraine","1176 BMP-2(K)",92,105,731,227,1155,"03/05/2024"
"202","Ukraine","118 152mm 2A65 Msta-B howitzer",1,16,60,34,111,"03/05/2024"
"203","Ukraine","12 122mm D-30 howitzer",0,3,7,2,12,"03/05/2024"
"204","Ukraine","12 AT105A Saxon",0,0,4,8,12,"03/05/2024"
"205","Ukraine","12 BMD-1KSh-A command vehicle",0,0,8,4,12,"03/05/2024"
"206","Ukraine","12 K-53949 Linza",0,2,8,3,13,"03/05/2024"
"207","Ukraine","120mm 2S34 Khosta",0,0,1,2,3,"03/05/2024"
"208","Ukraine","120mm 2S9 Nona",0,0,5,0,5,"03/05/2024"
"209","Ukraine","120mm BTR-3M2",0,0,1,2,3,"03/05/2024"
"210","Ukraine","120mm Bars-8MMK",0,0,2,0,2,"03/05/2024"
"211","Ukraine","122mm 2B26 Grad-K",0,1,4,0,5,"03/05/2024"
"212","Ukraine","122mm 2S1 Gvozdika",2,4,84,8,98,"03/05/2024"
"213","Ukraine","122mm 9P138 Grad-1",0,4,10,1,15,"03/05/2024"
"214","Ukraine","122mm BM-21 Grad",0,9,26,4,39,"03/05/2024"
"215","Ukraine","122mm D-30 howitzer",2,11,43,16,72,"03/05/2024"
"216","Ukraine","124 GAZ-66",3,5,85,28,121,"03/05/2024"
"217","Ukraine","127 KamAZ 6x6 tanker",0,7,86,30,123,"03/05/2024"
"218","Ukraine","13 120mm 2B16 Nona-K gun mortar",2,2,2,8,14,"03/05/2024"
"219","Ukraine","13 2K22M1 Tunguska",3,2,7,1,13,"03/05/2024"
"220","Ukraine","13 BMP-1KSh command and staff vehicle",0,0,8,5,13,"03/05/2024"
"221","Ukraine","13 KrAZ-255 (for PMP floating bridge system)",0,2,9,2,13,"03/05/2024"
"222","Ukraine","14 KrAZ-255B",0,1,10,3,14,"03/05/2024"
"223","Ukraine","14 Ural-63704-0010 Tornado-U",1,2,6,5,14,"03/05/2024"
"224","Ukraine","15 82mm 2B9 Vasilek automatic gun mortar",0,1,9,6,16,"03/05/2024"
"225","Ukraine","15 T-72AV",0,1,11,4,16,"03/05/2024"
"226","Ukraine","152mm 2A36 Giatsint-B field-gun",1,8,33,9,51,"03/05/2024"
"227","Ukraine","152mm 2A65 Msta-B howitzer",2,2,2,1,7,"03/05/2024"
"228","Ukraine","152mm 2S19 Msta-S",0,2,2,0,4,"03/05/2024"
"229","Ukraine","152mm 2S3 Akatsiya",0,8,29,4,41,"03/05/2024"
"230","Ukraine","152mm 2S3(M) Akatsiya",2,7,113,30,152,"03/05/2024"
"231","Ukraine","152mm 2S5 Giatsint-S",0,0,1,2,3,"03/05/2024"
"232","Ukraine","152mm D-20 gun-howitzer",0,8,25,3,36,"03/05/2024"
"233","Ukraine","155mm AHS Krab",0,5,23,0,28,"03/05/2024"
"234","Ukraine","155mm AS-90",0,3,5,0,8,"03/05/2024"
"235","Ukraine","155mm Caesar 8x8",0,0,1,0,1,"03/05/2024"
"236","Ukraine","155mm FH-70 howitzer",0,3,2,0,5,"03/05/2024"
"237","Ukraine","155mm M109A3/A4/A5/A6/L",0,16,38,0,54,"03/05/2024"
"238","Ukraine","155mm M777A2 howitzer",0,38,40,0,78,"03/05/2024"
"239","Ukraine","155mm TRF1 howitzer",0,0,1,0,1,"03/05/2024"
"240","Ukraine","156 Unknown BMP-1/2",13,7,129,0,149,"03/05/2024"
"241","Ukraine","16 PTS-2 tracked amphibious transport",4,1,8,4,17,"03/05/2024"
"242","Ukraine","16 T-80BV Obr. 2022",0,0,16,0,16,"03/05/2024"
"243","Ukraine","160 GAZ Tigr-M",0,9,116,31,156,"03/05/2024"
"244","Ukraine","161 Ural-43206",3,9,110,34,156,"03/05/2024"
"245","Ukraine","17 'Orlan-20' ''Kartograf''",0,1,14,3,18,"03/05/2024"
"246","Ukraine","17 KamAZ-63501 (for PP-2005 floating bridge system)",0,0,12,5,17,"03/05/2024"
"247","Ukraine","17 Su-25 close air support aircraft",0,1,16,0,17,"03/05/2024"
"248","Ukraine","175 Ural-4320 tanker",1,3,98,64,166,"03/05/2024"
"249","Ukraine","18 Su-24M strike aircraft",0,0,18,0,18,"03/05/2024"
"250","Ukraine","18 UAZ-39094",0,1,17,1,19,"03/05/2024"
"251","Ukraine","184 152mm 2S19 Msta-S",4,11,125,33,173,"03/05/2024"
"252","Ukraine","19 122mm 2B17 Tornado-G",0,4,9,8,21,"03/05/2024"
"253","Ukraine","19 9A310M1-2 TELAR (for Buk-M1-2)",0,4,15,0,19,"03/05/2024"
"254","Ukraine","199 BMP-2(K)",10,10,152,25,197,"03/05/2024"
"255","Ukraine","1L219 (for Zoopark counter-battery radar complex)",0,1,1,0,2,"03/05/2024"
"256","Ukraine","1L22 'Parol'",0,1,3,1,5,"03/05/2024"
"257","Ukraine","1L261 (for 1L260 Zoopark-1M counter-battery radar complex)",0,2,6,2,10,"03/05/2024"
"258","Ukraine","1L262E Rtut-BM",0,0,1,0,1,"03/05/2024"
"259","Ukraine","1L271 Aistyonok portable mortar locating reconnaissance radar",0,0,2,1,3,"03/05/2024"
"260","Ukraine","1RL257 Krasukha-4 (command post)",0,0,0,1,1,"03/05/2024"
"261","Ukraine","1V119 artillery fire direction vehicle",0,0,3,8,11,"03/05/2024"
"262","Ukraine","1V13(M) battery fire control center",3,1,9,12,25,"03/05/2024"
"263","Ukraine","1V14 battery command and forward observer vehicle",0,0,7,1,8,"03/05/2024"
"264","Ukraine","1V15 battery command and forward observer vehicle",0,0,0,2,2,"03/05/2024"
"265","Ukraine","1V18 'Klyon-1' artillery command and forward observer vehicle",0,0,0,8,8,"03/05/2024"
"266","Ukraine","2 105mm L119 howitzer",0,2,0,0,2,"03/05/2024"
"267","Ukraine","2 120mm Alakran",0,0,2,0,2,"03/05/2024"
"268","Ukraine","2 120mm BRM-1K with 2S9 Nona turret",0,0,2,0,2,"03/05/2024"
"269","Ukraine","2 1K148 ""Yastreb-AV"" artillery reconnaissance complex",0,0,2,0,2,"03/05/2024"
"270","Ukraine","2 1V13 battery command and forward observer vehicle",0,0,2,0,2,"03/05/2024"
"271","Ukraine","2 1V15M fire control and observation vehicle",0,0,2,0,2,"03/05/2024"
"272","Ukraine","2 1V16M artillery battalion command and staff vehicle",0,0,2,0,2,"03/05/2024"
"273","Ukraine","2 1V18 'Klyon-1' artillery command and forward observer vehicle",0,0,2,0,2,"03/05/2024"
"274","Ukraine","2 2K22M Tunguska-M",0,0,1,1,2,"03/05/2024"
"275","Ukraine","2 57mm AZP S-60",0,0,2,0,2,"03/05/2024"
"276","Ukraine","2 9K331MDT TLAR Tor-M2DT",0,0,2,0,2,"03/05/2024"
"277","Ukraine","2 9S18 Kupol (for Buk-M1-2/M2)",0,0,2,0,2,"03/05/2024"
"278","Ukraine","2 AP-2 mobile emergency room based on KamAZ 6x6",0,0,0,2,2,"03/05/2024"
"279","Ukraine","2 APA-5D airfield starter vehicle",0,0,2,0,2,"03/05/2024"
"280","Ukraine","2 BMK-MT towing and motor boat",0,0,2,0,2,"03/05/2024"
"281","Ukraine","2 BMM-80 ambulance",0,0,2,0,2,"03/05/2024"
"282","Ukraine","2 BRDM-2-based ZS-82 PsyOps vehicle",0,0,1,1,2,"03/05/2024"
"283","Ukraine","2 BRDM-2RKhb chemical reconnaissance vehicle",0,0,0,2,2,"03/05/2024"
"284","Ukraine","2 BTR-50",1,1,1,0,3,"03/05/2024"
"285","Ukraine","2 Bayraktar Mini",0,0,1,1,2,"03/05/2024"
"286","Ukraine","2 Beriev A-50",0,0,2,0,2,"03/05/2024"
"287","Ukraine","2 Chaklun",0,0,1,1,2,"03/05/2024"
"288","Ukraine","2 Coastal link pontoon (for PMP(-M) floating bridge system)",0,0,1,1,2,"03/05/2024"
"289","Ukraine","2 Coastal link pontoon (for unknown floating bridge system)",0,0,0,2,2,"03/05/2024"
"290","Ukraine","2 Control station for the TB2 UCAV",0,0,1,0,1,"03/05/2024"
"291","Ukraine","2 Eleron-10",0,0,1,1,2,"03/05/2024"
"292","Ukraine","2 GAZ-3308",0,0,1,1,2,"03/05/2024"
"293","Ukraine","2 GAZ-53",0,0,0,2,2,"03/05/2024"
"294","Ukraine","2 GAZ-63",0,0,2,0,2,"03/05/2024"
"295","Ukraine","2 ISDM Zemledeliye remote mine-laying system",0,0,2,0,2,"03/05/2024"
"296","Ukraine","2 Iveco VM90",0,1,1,0,2,"03/05/2024"
"297","Ukraine","2 KamAZ 'Gorets' 3958",0,1,1,1,3,"03/05/2024"
"298","Ukraine","2 KamAZ-53501 (for PMP-M floating bridge system)",0,0,2,0,2,"03/05/2024"
"299","Ukraine","2 KrAZ-6446",0,0,2,0,2,"03/05/2024"
"300","Ukraine","2 Launcher for S-300",0,0,2,0,2,"03/05/2024"
"301","Ukraine","2 Leer-3 electronic warfare system",0,0,1,1,2,"03/05/2024"
"302","Ukraine","2 M1123 HMMWV",0,0,2,0,2,"03/05/2024"
"303","Ukraine","2 M1150 Assault Breacher",0,0,2,0,2,"03/05/2024"
"304","Ukraine","2 M1A1 SA Abrams",1,1,1,0,3,"03/05/2024"
"305","Ukraine","2 MAZ-5337 fuel tanker",0,1,1,1,3,"03/05/2024"
"306","Ukraine","2 MP-2IM signals vehicle",0,0,1,1,2,"03/05/2024"
"307","Ukraine","2 MPUS-K mobile command post",0,0,2,0,2,"03/05/2024"
"308","Ukraine","2 MSh-5350.1 command vehicle",0,0,1,1,2,"03/05/2024"
"309","Ukraine","2 MZA-M.1 battery charge and repair workshop",0,0,1,1,2,"03/05/2024"
"310","Ukraine","2 Mi-17V5",0,0,2,0,2,"03/05/2024"
"311","Ukraine","2 Mobile field bathhouse PPB-32VU based on the Ural-53236",0,0,1,1,2,"03/05/2024"
"312","Ukraine","2 Orlik",0,0,1,1,2,"03/05/2024"
"313","Ukraine","2 PRP-3 with a BMP-1 turret",0,0,2,0,2,"03/05/2024"
"314","Ukraine","2 Palantin EW system",0,0,2,0,2,"03/05/2024"
