"","country","system","abandoned","captured","damaged","destroyed","total","Date"
"1","Russia","(Unknown) truck",2,11,6,132,151,"05/09/2023"
"2","Russia","1 1L119 Nebo-SVU VHF multi-functional radar",0,0,0,1,1,"05/09/2023"
"3","Russia","1 1RL239 Ark-1(M) counter-battery radar",0,0,0,1,1,"05/09/2023"
"4","Russia","1 1V1003 command and observation vehicle (for 1V198 artillery fire control system)",0,1,0,0,1,"05/09/2023"
"5","Russia","1 1V110 BM-21 Grad battery command vehicle",0,1,0,1,2,"05/09/2023"
"6","Russia","1 1V16 battalion fire direction vehicle",0,1,0,0,1,"05/09/2023"
"7","Russia","1 1V18 'Klyon-1' artillery command and forward observer vehicle",0,0,0,1,1,"05/09/2023"
"8","Russia","1 2F77M transloading vehicle for 2K22M Tunguska-M",0,1,1,0,2,"05/09/2023"
"9","Russia","1 300mm BM-30 Smerch",0,0,0,1,1,"05/09/2023"
"10","Russia","1 5P85SM2-01 (launcher for S-400)",0,0,0,1,1,"05/09/2023"
"11","Russia","1 9A83M2 (launcher for S-300V4)",0,0,0,1,1,"05/09/2023"
"12","Russia","1 9S18 Kupol TUBE ARM search and acquisition radar (for Buk-M2)",0,0,0,1,1,"05/09/2023"
"13","Russia","1 APA-80 engine starting vehicle",0,0,0,1,1,"05/09/2023"
"14","Russia","1 BMM-80 ambulance",0,0,0,1,1,"05/09/2023"
"15","Russia","1 BMPT Terminator",0,0,0,1,1,"05/09/2023"
"16","Russia","1 BRM-1K Obr. 2021",0,1,0,0,1,"05/09/2023"
"17","Russia","1 BTR-60PB",0,0,1,0,1,"05/09/2023"
"18","Russia","1 BTR-60PU-12command vehicle",0,1,0,0,1,"05/09/2023"
"19","Russia","1 BTR-80-based ZS-88 PsyOps vehicle",0,0,0,1,1,"05/09/2023"
"20","Russia","1 Command vehicle for Podlet-K1 low-altitude S-band surveillance radar",0,0,0,1,1,"05/09/2023"
"21","Russia","1 ED2x30-T400-3RA mobile generator",0,0,1,0,1,"05/09/2023"
"22","Russia","1 Eleron T28ME",0,1,0,0,1,"05/09/2023"
"23","Russia","1 Forpost-RU",0,0,0,1,1,"05/09/2023"
"24","Russia","1 GAZ-3937 Vodnik",0,1,0,0,1,"05/09/2023"
"25","Russia","1 GAZ-51",0,1,0,0,1,"05/09/2023"
"26","Russia","1 Granat-3",0,0,0,1,1,"05/09/2023"
"27","Russia","1 Grifon-12",0,1,0,0,1,"05/09/2023"
"28","Russia","1 ISDM Zemledeliye remote mine-laying system",0,0,0,1,1,"05/09/2023"
"29","Russia","1 Il-22 airborne command post",0,0,1,0,1,"05/09/2023"
"30","Russia","1 KamAZ-395800 'Gorets'",0,0,0,1,1,"05/09/2023"
"31","Russia","1 KamAZ-63501 with KS-55729-7M 32-ton crane",0,0,0,1,1,"05/09/2023"
"32","Russia","1 Leer-2 electronic warfare system",0,0,0,1,1,"05/09/2023"
"33","Russia","1 Leer-3 electronic warfare system",0,1,0,0,1,"05/09/2023"
"34","Russia","1 MPUS-K mobile command post",0,0,0,1,1,"05/09/2023"
"35","Russia","1 MSh-5350.1 command vehicle",0,1,0,0,1,"05/09/2023"
"36","Russia","1 MT-LB with 14.5mm 2M-7 naval gun mount",0,1,0,0,1,"05/09/2023"
"37","Russia","1 MTO-AG-3M",0,0,0,1,1,"05/09/2023"
"38","Russia","1 Mobile generator for Podlet-K1 low-altitude S-band surveillance radar",0,0,0,1,1,"05/09/2023"
"39","Russia","1 Orlan-10 UAV control station",0,0,0,1,1,"05/09/2023"
"40","Russia","1 P-18-2 2D VHF surveillance radar",0,0,0,1,1,"05/09/2023"
"41","Russia","1 P-18T",0,0,0,1,1,"05/09/2023"
"42","Russia","1 P-240 digital communications vehicle",0,0,0,1,1,"05/09/2023"
"43","Russia","1 P-260 Redut-2US communication system",0,0,0,1,1,"05/09/2023"
"44","Russia","1 PRP-4(M) artillery reconnaissance vehicle",0,0,0,1,1,"05/09/2023"
"45","Russia","1 PRP-4A Argus artillery reconnaissance vehicle",0,1,0,0,1,"05/09/2023"
"46","Russia","1 PZM-2 trench-digging vehicle",0,1,0,0,1,"05/09/2023"
"47","Russia","1 Palantin electronic warfare system",0,0,0,1,1,"05/09/2023"
"48","Russia","1 Project 266M Natya-class minesweeper",0,0,1,0,1,"05/09/2023"
"49","Russia","1 R-145BM command vehicle",0,1,0,0,1,"05/09/2023"
"50","Russia","1 R-145BMA command vehicle",0,1,0,0,1,"05/09/2023"
"51","Russia","1 R-431AM antenna module for the Redut-2US communications system",0,0,0,1,1,"05/09/2023"
"52","Russia","1 R-441 SatCom station",0,0,0,1,1,"05/09/2023"
"53","Russia","1 RB-636AM2 Svet-KU EW system",0,1,0,0,1,"05/09/2023"
"54","Russia","1 RLK-MC-A (ROSC-1) counter-UAV system",0,0,0,1,1,"05/09/2023"
