"","country","equipment_type","destroyed","abandoned","captured","damaged","type_total","row_id","Date"
"1","Russia","All Types",9068,539,2903,567,13077,1,"2023-11-11"
"2","Russia","Tanks",1618,166,550,140,2474,2,"2023-11-11"
"3","Russia","Armoured Fighting Vehicles",707,44,269,30,1050,3,"2023-11-11"
"4","Russia","Infantry Fighting Vehicles",2116,171,618,117,3022,4,"2023-11-11"
"5","Russia","Armoured Personnel Carriers",249,18,91,11,369,5,"2023-11-11"
"6","Russia","Mine-Resistant Ambush Protected",35,1,9,4,49,6,"2023-11-11"
"7","Russia","Infantry Mobility Vehicles",161,4,51,8,224,7,"2023-11-11"
"8","Russia","Command Posts And Communications Stations",168,2,84,3,257,8,"2023-11-11"
"9","Russia","Engineering Vehicles And Equipment",180,45,125,10,360,9,"2023-11-11"
"10","Russia","Self-Propelled Anti-Tank Missile Systems",18,4,19,1,42,10,"2023-11-11"
"11","Russia","Artillery Support Vehicles And Equipment",55,2,52,0,109,11,"2023-11-11"
"12","Russia","Towed Artillery",193,5,100,35,333,12,"2023-11-11"
"13","Russia","Self-Propelled Artillery",444,7,107,32,590,13,"2023-11-11"
"14","Russia","Multiple Rocket Launchers",226,2,53,22,303,14,"2023-11-11"
"15","Russia","Anti-Aircraft Guns",5,0,14,0,19,15,"2023-11-11"
"16","Russia","Self-Propelled Anti-Aircraft Guns",14,2,8,1,25,16,"2023-11-11"
"17","Russia","Surface-To-Air Missile Systems",125,4,24,25,178,17,"2023-11-11"
"18","Russia","Radars",31,0,9,5,45,18,"2023-11-11"
"19","Russia","Jammers And Deception Systems",46,0,7,9,62,19,"2023-11-11"
"20","Russia","Aircraft",86,0,0,8,94,20,"2023-11-11"
"21","Russia","Helicopters",102,0,2,28,132,21,"2023-11-11"
"22","Russia","Unmanned Combat Aerial Vehicles",11,0,3,0,14,22,"2023-11-11"
"23","Russia","Reconnaissance Unmanned Aerial Vehicles",176,0,131,0,307,23,"2023-11-11"
"24","Russia","Naval Ships and Submarines",12,0,0,5,17,24,"2023-11-11"
"25","Russia","Trucks, Vehicles, and Jeeps",2283,51,573,66,2973,25,"2023-11-11"
"26","Ukraine","All Types",3215,178,963,364,4720,1,"2023-11-11"
"27","Ukraine","Tanks",458,38,141,56,693,2,"2023-11-11"
"28","Ukraine","Armoured Fighting Vehicles",237,9,80,9,335,3,"2023-11-11"
"29","Ukraine","Infantry Fighting Vehicles",574,51,115,47,787,4,"2023-11-11"
"30","Ukraine","Armoured Personnel Carriers",220,29,93,26,368,5,"2023-11-11"
"31","Ukraine","Mine-Resistant Ambush Protected",123,19,11,25,178,6,"2023-11-11"
"32","Ukraine","Infantry Mobility Vehicles",241,7,116,32,396,7,"2023-11-11"
"33","Ukraine","Command Posts And Communications Stations",14,0,4,0,18,8,"2023-11-11"
"34","Ukraine","Engineering Vehicles And Equipment",54,5,25,10,94,9,"2023-11-11"
"35","Ukraine","Self-Propelled Anti-Tank Missile Systems",8,1,12,0,21,10,"2023-11-11"
"36","Ukraine","Artillery Support Vehicles And Equipment",10,0,13,0,23,11,"2023-11-11"
"37","Ukraine","Towed Artillery",95,2,18,54,169,12,"2023-11-11"
"38","Ukraine","Self-Propelled Artillery",169,0,23,49,241,13,"2023-11-11"
"39","Ukraine","Multiple Rocket Launchers",33,0,8,9,50,14,"2023-11-11"
"40","Ukraine","Anti-Aircraft Guns",0,0,4,0,4,15,"2023-11-11"
"41","Ukraine","Self-Propelled Anti-Aircraft Guns",2,1,3,1,7,16,"2023-11-11"
"42","Ukraine","Surface-To-Air Missile Systems
",107,1,6,15,129,17,"2023-11-11"
"43","Ukraine","Radars And Communications Equipment",62,1,11,10,84,18,"2023-11-11"
"44","Ukraine","Jammers And Deception Systems",3,0,1,0,4,19,"2023-11-11"
"45","Ukraine","Aircraft",76,0,1,1,78,20,"2023-11-11"
"46","Ukraine","Helicopters",33,0,3,1,37,21,"2023-11-11"
"47","Ukraine","Unmanned Combat Aerial Vehicles",25,0,0,0,25,22,"2023-11-11"
"48","Ukraine","Reconnaissance Unmanned Aerial Vehicles",120,0,74,1,195,23,"2023-11-11"
"49","Ukraine","Naval Ships",9,0,17,1,27,24,"2023-11-11"
"50","Ukraine","Trucks, Vehicles, and Jeeps",554,12,184,17,767,25,"2023-11-11"
