"","country","equipment_type","destroyed","abandoned","captured","damaged","type_total","Date"
"1","Russia","All Types",1526,235,1064,43,2868,"2022-04-13"
"2","Russia","Tanks",251,40,200,8,499,"2022-04-13"
"3","Russia","Armoured Fighting Vehicles",126,29,106,0,261,"2022-04-13"
"4","Russia","Infantry Fighting Vehicles",308,32,176,2,518,"2022-04-13"
"5","Russia","Armoured Personnel Carriers",32,17,46,2,97,"2022-04-13"
"6","Russia","Mine-Resistant Ambush Protected",12,3,7,0,22,"2022-04-13"
"7","Russia","Infantry Mobility Vehicles",55,5,29,2,91,"2022-04-13"
"8","Russia","Command Posts And Communications Stations",30,8,24,0,62,"2022-04-13"
"9","Russia","Engineering Vehicles And Equipment",32,15,58,0,105,"2022-04-13"
"10","Russia","Heavy Mortars",3,0,8,0,11,"2022-04-13"
"11","Russia","Towed Artillery",10,5,35,4,54,"2022-04-13"
"12","Russia","Self-Propelled Artillery",41,15,38,2,96,"2022-04-13"
"13","Russia","Multiple Rocket Launchers",25,5,24,0,54,"2022-04-13"
"14","Russia","Anti-Aircraft Guns",0,0,4,0,4,"2022-04-13"
"15","Russia","Self-Propelled Anti-Aircraft Guns",5,2,7,0,14,"2022-04-13"
"16","Russia","Surface-To-Air Missile Systems",25,7,18,1,51,"2022-04-13"
"17","Russia","Radars",4,0,6,0,10,"2022-04-13"
"18","Russia","Jammers And Deception Systems",3,0,2,2,7,"2022-04-13"
"19","Russia","Aircraft",19,0,0,1,20,"2022-04-13"
"20","Russia","Helicopters",28,1,1,2,32,"2022-04-13"
"21","Russia","Unmanned Aerial Vehicles",18,0,10,0,28,"2022-04-13"
"22","Russia","Naval Ships",1,0,0,2,3,"2022-04-13"
"23","Russia","Logistics Trains",2,0,0,0,2,"2022-04-13"
"24","Russia","Trucks, Vehicles and Jeeps",510,61,232,17,820,"2022-04-13"
"25","Ukraine","All Types",352,35,361,23,771,"2022-04-13"
"26","Ukraine","Tanks",43,9,56,1,109,"2022-04-13"
"27","Ukraine","Armoured Fighting Vehicles",28,4,42,0,74,"2022-04-13"
"28","Ukraine","Infantry Fighting Vehicles",39,9,34,3,85,"2022-04-13"
"29","Ukraine","Armoured Personnel Carriers",10,2,27,1,40,"2022-04-13"
"30","Ukraine","Infantry Mobility Vehicles",18,1,37,1,57,"2022-04-13"
"31","Ukraine","Engineering Vehicles",2,0,8,0,10,"2022-04-13"
"32","Ukraine","Towed Artillery",8,3,11,3,25,"2022-04-13"
"33","Ukraine","Self-Propelled Artillery",8,1,8,4,21,"2022-04-13"
"34","Ukraine","Multiple Rocket Launchers",10,0,5,0,15,"2022-04-13"
"35","Ukraine","Anti-Aircraft Guns",0,0,2,0,2,"2022-04-13"
"36","Ukraine","Self-Propelled Anti-Aircraft Guns
",0,0,2,0,2,"2022-04-13"
"37","Ukraine","Surface-To-Air Missile Systems
",34,1,6,0,41,"2022-04-13"
"38","Ukraine","Radars And Communications Equipment",9,1,4,3,17,"2022-04-13"
"39","Ukraine","Aircraft",15,0,0,1,16,"2022-04-13"
"40","Ukraine","Helicopters",2,0,1,0,3,"2022-04-13"
"41","Ukraine","Unmanned Aerial Vehicles",12,0,2,0,14,"2022-04-13"
"42","Ukraine","Naval Ships",2,0,11,1,14,"2022-04-13"
"43","Ukraine","Trucks, Vehicles and Jeeps",98,5,117,5,225,"2022-04-13"
