"","country","equipment_type","destroyed","abandoned","captured","damaged","type_total","Date"
"1","Russia","All Types",1270,238,945,38,2491,"2022-04-05"
"2","Russia","Tanks",203,42,176,6,427,"2022-04-05"
"3","Russia","Armoured Fighting Vehicles",131,32,116,0,279,"2022-04-05"
"4","Russia","Infantry Fighting Vehicles",256,32,156,2,446,"2022-04-05"
"5","Russia","Armoured Personnel Carriers",24,17,45,1,87,"2022-04-05"
"6","Russia","Mine-Resistant Ambush Protected",9,3,7,0,19,"2022-04-05"
"7","Russia","Infantry Mobility Vehicles",45,5,25,2,77,"2022-04-05"
"8","Russia","Communications Stations",5,5,6,0,16,"2022-04-05"
"9","Russia","Engineering Vehicles And Equipment",27,15,38,0,80,"2022-04-05"
"10","Russia","Heavy Mortars",3,0,8,0,11,"2022-04-05"
"11","Russia","Towed Artillery",10,5,31,4,50,"2022-04-05"
"12","Russia","Self-Propelled Artillery",27,15,34,3,79,"2022-04-05"
"13","Russia","Multiple Rocket Launchers",19,5,23,0,47,"2022-04-05"
"14","Russia","Anti-Aircraft Guns",0,0,3,0,3,"2022-04-05"
"15","Russia","Self-Propelled Anti-Aircraft Guns",5,3,4,0,12,"2022-04-05"
"16","Russia","Surface-To-Air Missile Systems",20,7,16,1,44,"2022-04-05"
"17","Russia","Radars",2,0,5,0,7,"2022-04-05"
"18","Russia","Jammers And Deception Systems",2,0,2,2,6,"2022-04-05"
"19","Russia","Aircraft",19,0,0,1,20,"2022-04-05"
"20","Russia","Helicopters",28,1,1,2,32,"2022-04-05"
"21","Russia","Unmanned Aerial Vehicles",15,0,7,0,22,"2022-04-05"
"22","Russia","Naval Ships",1,0,0,2,3,"2022-04-05"
"23","Russia","Logistics Trains",2,0,0,0,2,"2022-04-05"
"24","Russia","Trucks, Vehicles and Jeeps",423,61,216,14,714,"2022-04-05"
"25","Ukraine","All Types",303,37,324,20,684,"2022-04-05"
"26","Ukraine","Tanks",36,9,44,2,91,"2022-04-05"
"27","Ukraine","Armoured Fighting Vehicles",26,4,35,0,65,"2022-04-05"
"28","Ukraine","Infantry Fighting Vehicles",34,9,30,3,76,"2022-04-05"
"29","Ukraine","Armoured Personnel Carriers",5,2,22,1,30,"2022-04-05"
"30","Ukraine","Infantry Mobility Vehicles",15,1,31,1,48,"2022-04-05"
"31","Ukraine","Engineering Vehicles",2,0,7,0,9,"2022-04-05"
"32","Ukraine","Towed Artillery",8,3,11,3,25,"2022-04-05"
"33","Ukraine","Self-Propelled Artillery",11,1,7,1,20,"2022-04-05"
"34","Ukraine","Multiple Rocket Launchers",7,0,5,0,12,"2022-04-05"
"35","Ukraine","Anti-Aircraft Guns",0,0,2,0,2,"2022-04-05"
"36","Ukraine","Self-Propelled Anti-Aircraft Guns
",0,0,1,0,1,"2022-04-05"
"37","Ukraine","Surface-To-Air Missile Systems
",30,1,5,0,36,"2022-04-05"
"38","Ukraine","Radars And Communications Equipment",9,1,4,3,17,"2022-04-05"
"39","Ukraine","Aircraft",14,0,0,1,15,"2022-04-05"
"40","Ukraine","Helicopters",2,0,1,0,3,"2022-04-05"
"41","Ukraine","Unmanned Aerial Vehicles",11,0,2,0,13,"2022-04-05"
"42","Ukraine","Naval Ships",2,0,12,0,14,"2022-04-05"
"43","Ukraine","Trucks, Vehicles and Jeeps",78,5,117,5,205,"2022-04-05"
