"","country","equipment_type","destroyed","abandoned","captured","damaged","type_total","row_id","Date"
"1","Russia","All Types",6412,384,2841,301,9938,1,"2023-04-02"
"2","Russia","Tanks",1156,100,553,100,1909,2,"2023-04-02"
"3","Russia","Armoured Fighting Vehicles",515,28,264,13,820,3,"2023-04-02"
"4","Russia","Infantry Fighting Vehicles",1466,124,610,68,2268,4,"2023-04-02"
"5","Russia","Armoured Personnel Carriers",190,12,98,8,308,5,"2023-04-02"
"6","Russia","Mine-Resistant Ambush Protected",30,1,10,4,45,6,"2023-04-02"
"7","Russia","Infantry Mobility Vehicles",130,1,53,4,188,7,"2023-04-02"
"8","Russia","Command Posts And Communications Stations",147,3,88,0,238,8,"2023-04-02"
"9","Russia","Engineering Vehicles And Equipment",134,39,120,5,298,9,"2023-04-02"
"10","Russia","Self-Propelled Anti-Tank Missile Systems",14,4,20,0,38,10,"2023-04-02"
"11","Russia","Artillery Support Vehicles And Equipment",44,2,51,0,97,11,"2023-04-02"
"12","Russia","Towed Artillery",84,5,94,9,192,12,"2023-04-02"
"13","Russia","Self-Propelled Artillery",248,7,105,15,375,13,"2023-04-02"
"14","Russia","Multiple Rocket Launchers",128,2,55,5,190,14,"2023-04-02"
"15","Russia","Anti-Aircraft Guns",3,0,14,0,17,15,"2023-04-02"
"16","Russia","Self-Propelled Anti-Aircraft Guns",13,3,8,0,24,16,"2023-04-02"
"17","Russia","Surface-To-Air Missile Systems",71,4,23,6,104,17,"2023-04-02"
"18","Russia","Radars",15,0,9,3,27,18,"2023-04-02"
"19","Russia","Jammers And Deception Systems",21,0,7,3,31,19,"2023-04-02"
"20","Russia","Aircraft",70,0,0,8,78,20,"2023-04-02"
"21","Russia","Helicopters",69,0,1,10,80,21,"2023-04-02"
"22","Russia","Unmanned Combat Aerial Vehicles",6,0,1,0,7,22,"2023-04-02"
"23","Russia","Reconnaissance Unmanned Aerial Vehicles",103,0,96,0,199,23,"2023-04-02"
"24","Russia","Naval Ships",8,0,0,4,12,24,"2023-04-02"
"25","Russia","Trucks, Vehicles and Jeeps",1747,49,562,36,2394,25,"2023-04-02"
"26","Ukraine","All Types",2025,85,877,165,3152,1,"2023-04-02"
"27","Ukraine","Tanks",300,17,143,28,488,2,"2023-04-02"
"28","Ukraine","Armoured Fighting Vehicles",186,5,80,2,273,3,"2023-04-02"
"29","Ukraine","Infantry Fighting Vehicles",371,32,108,12,523,4,"2023-04-02"
"30","Ukraine","Armoured Personnel Carriers",129,12,85,13,239,5,"2023-04-02"
"31","Ukraine","Mine-Resistant Ambush Protected",29,3,5,10,47,6,"2023-04-02"
"32","Ukraine","Infantry Mobility Vehicles",155,4,108,19,286,7,"2023-04-02"
"33","Ukraine","Command Posts And Communications Stations",6,0,3,0,9,8,"2023-04-02"
"34","Ukraine","Engineering Vehicles And Equipment",22,0,24,2,48,9,"2023-04-02"
"35","Ukraine","Self-Propelled Anti-Tank Missile Systems",8,1,12,0,21,10,"2023-04-02"
"36","Ukraine","Artillery Support Vehicles And Equipment",10,0,13,0,23,11,"2023-04-02"
"37","Ukraine","Towed Artillery",72,3,18,28,121,12,"2023-04-02"
"38","Ukraine","Self-Propelled Artillery",80,0,26,26,132,13,"2023-04-02"
"39","Ukraine","Multiple Rocket Launchers",27,0,9,4,40,14,"2023-04-02"
"40","Ukraine","Anti-Aircraft Guns",0,0,4,0,4,15,"2023-04-02"
"41","Ukraine","Self-Propelled Anti-Aircraft Guns",1,0,3,1,5,16,"2023-04-02"
"42","Ukraine","Surface-To-Air Missile Systems
",75,1,7,4,87,17,"2023-04-02"
"43","Ukraine","Radars And Communications Equipment",35,1,11,5,52,18,"2023-04-02"
"44","Ukraine","Jammers And Deception Systems",0,0,1,0,1,19,"2023-04-02"
"45","Ukraine","Aircraft",61,0,1,0,62,20,"2023-04-02"
"46","Ukraine","Helicopters",25,0,3,1,29,21,"2023-04-02"
"47","Ukraine","Unmanned Combat Aerial Vehicles",17,0,0,0,17,22,"2023-04-02"
"48","Ukraine","Reconnaissance Unmanned Aerial Vehicles",45,0,33,0,78,23,"2023-04-02"
"49","Ukraine","Naval Ships",8,0,16,1,25,24,"2023-04-02"
"50","Ukraine","Trucks, Vehicles and Jeeps",362,7,160,13,542,25,"2023-04-02"
