"","latitude","longitude","bright_ti4","scan","track","acq_date","acq_time","satellite","confidence","version","bright_ti5","frp","daynight"
"1",14.54258,29.75023,302.32,0.49,0.65,"2026-03-09",20,"N20","nominal","2.0NRT",287.38,0.69,"N"
"2",14.53672,29.74896,302.88,0.49,0.65,"2026-03-09",20,"N20","nominal","2.0NRT",287.71,0.69,"N"
"3",13.86601,31.11475,302.67,0.62,0.71,"2026-03-09",20,"N20","nominal","2.0NRT",286.23,1.04,"N"
"4",13.1195,32.30919,301.63,0.77,0.77,"2026-03-09",20,"N20","nominal","2.0NRT",288.61,1.77,"N"
"5",13.1222,32.30458,305.73,0.77,0.77,"2026-03-09",20,"N20","nominal","2.0NRT",287.91,2.37,"N"
"6",13.42236,29.02109,312.68,0.46,0.63,"2026-03-09",22,"N20","nominal","2.0NRT",287.6,1.24,"N"
"7",13.01823,30.65896,302.58,0.6,0.7,"2026-03-09",22,"N20","nominal","2.0NRT",284.94,1.13,"N"
"8",13.02236,30.66246,300.2,0.6,0.71,"2026-03-09",22,"N20","nominal","2.0NRT",286.61,0.83,"N"
"9",13.016,30.66108,301.43,0.6,0.71,"2026-03-09",22,"N20","nominal","2.0NRT",285.38,0.83,"N"
"10",13.20697,28.83894,297.9,0.45,0.63,"2026-03-09",22,"N20","nominal","2.0NRT",281.49,1.3,"N"
"11",13.20615,28.84297,304.45,0.45,0.63,"2026-03-09",22,"N20","nominal","2.0NRT",282.02,1.45,"N"
"12",12.7683,30.00965,300.35,0.55,0.68,"2026-03-09",22,"N20","nominal","2.0NRT",287.72,1.07,"N"
"13",12.76728,30.01459,300.66,0.55,0.68,"2026-03-09",22,"N20","nominal","2.0NRT",287.9,1.07,"N"
"14",12.60146,29.06141,297.65,0.48,0.64,"2026-03-09",22,"N20","nominal","2.0NRT",284.97,0.59,"N"
"15",12.52342,28.8261,300.94,0.46,0.64,"2026-03-09",22,"N20","nominal","2.0NRT",284.64,0.82,"N"
"16",12.52266,28.82641,300.71,0.46,0.64,"2026-03-09",22,"N20","nominal","2.0NRT",284.91,1.01,"N"
"17",12.32068,28.78701,298.3,0.46,0.64,"2026-03-09",22,"N20","nominal","2.0NRT",282.23,0.66,"N"
"18",12.31984,28.79112,297.45,0.46,0.64,"2026-03-09",22,"N20","nominal","2.0NRT",281.92,0.66,"N"
"19",12.31156,28.80228,320.87,0.46,0.64,"2026-03-09",22,"N20","nominal","2.0NRT",280.61,2.07,"N"
"20",12.31661,28.77761,300.6,0.46,0.64,"2026-03-09",22,"N20","nominal","2.0NRT",279.95,1.41,"N"
"21",12.32006,28.78729,298.23,0.46,0.64,"2026-03-09",22,"N20","nominal","2.0NRT",282.16,0.74,"N"
"22",12.31925,28.79141,296.85,0.46,0.64,"2026-03-09",22,"N20","nominal","2.0NRT",281.28,0.74,"N"
"23",12.31106,28.80258,320.66,0.46,0.64,"2026-03-09",22,"N20","nominal","2.0NRT",279.92,2.33,"N"
"24",12.31593,28.77784,300.86,0.46,0.64,"2026-03-09",22,"N20","nominal","2.0NRT",278.89,1.51,"N"
"25",12.30529,28.80138,295.42,0.46,0.64,"2026-03-09",22,"N20","nominal","2.0NRT",278.76,0.5,"N"
"26",11.50355,31.45394,302.88,0.72,0.76,"2026-03-09",22,"N20","nominal","2.0NRT",289.45,0.76,"N"
"27",11.83685,29.56142,304.88,0.53,0.67,"2026-03-09",22,"N20","nominal","2.0NRT",289.46,1.62,"N"
"28",11.83588,29.56613,303.62,0.53,0.67,"2026-03-09",22,"N20","nominal","2.0NRT",289.18,1.62,"N"
"29",11.83492,29.57081,306.44,0.53,0.67,"2026-03-09",22,"N20","nominal","2.0NRT",289.42,2.13,"N"
"30",11.82884,29.56951,323.21,0.53,0.67,"2026-03-09",22,"N20","nominal","2.0NRT",290.28,2.13,"N"
"31",12.22271,27.58746,300.47,0.39,0.59,"2026-03-09",22,"N20","nominal","2.0NRT",288.06,0.56,"N"
"32",11.83633,29.56397,303.48,0.53,0.67,"2026-03-09",22,"N20","nominal","2.0NRT",289.1,1.28,"N"
"33",11.8354,29.56867,309.88,0.53,0.67,"2026-03-09",22,"N20","nominal","2.0NRT",289.22,1.28,"N"
"34",11.82932,29.56735,301.93,0.53,0.67,"2026-03-09",22,"N20","nominal","2.0NRT",289.48,1.68,"N"
"35",11.82838,29.57204,314.02,0.53,0.67,"2026-03-09",22,"N20","nominal","2.0NRT",290.41,2.06,"N"
"36",11.98342,28.6076,311.15,0.46,0.63,"2026-03-09",22,"N20","nominal","2.0NRT",279.93,0.63,"N"
"37",11.8531,29.13729,308.36,0.5,0.66,"2026-03-09",22,"N20","nominal","2.0NRT",289.53,1.29,"N"
"38",11.8522,29.14173,304.73,0.5,0.66,"2026-03-09",22,"N20","nominal","2.0NRT",289.75,1.29,"N"
"39",11.8513,29.14618,306.39,0.5,0.66,"2026-03-09",22,"N20","nominal","2.0NRT",289.85,1.2,"N"
"40",11.8504,29.15066,303.59,0.5,0.66,"2026-03-09",22,"N20","nominal","2.0NRT",289.62,1.2,"N"
"41",11.85077,29.11828,306.78,0.5,0.66,"2026-03-09",22,"N20","nominal","2.0NRT",289.9,1.13,"N"
"42",11.84988,29.1227,301.43,0.5,0.66,"2026-03-09",22,"N20","nominal","2.0NRT",289.66,1.13,"N"
"43",11.834,29.17054,300.92,0.5,0.66,"2026-03-09",22,"N20","nominal","2.0NRT",289.07,1.07,"N"
"44",11.83309,29.17505,306.2,0.5,0.66,"2026-03-09",22,"N20","nominal","2.0NRT",289.32,1.07,"N"
"45",11.82623,29.1783,300.06,0.5,0.66,"2026-03-09",22,"N20","nominal","2.0NRT",289.92,1,"N"
"46",11.87738,28.8962,308.68,0.48,0.65,"2026-03-09",22,"N20","nominal","2.0NRT",290.23,0.95,"N"
"47",11.81345,29.18023,305.24,0.5,0.66,"2026-03-09",22,"N20","nominal","2.0NRT",289.19,1.16,"N"
"48",11.7988,29.19119,309.71,0.5,0.66,"2026-03-09",22,"N20","nominal","2.0NRT",289.74,1.09,"N"
"49",11.83768,29.16785,301.79,0.5,0.66,"2026-03-09",22,"N20","nominal","2.0NRT",290.24,1.24,"N"
"50",11.8368,29.17236,305.83,0.5,0.66,"2026-03-09",22,"N20","nominal","2.0NRT",289.54,1.26,"N"
"51",11.82998,29.17558,305.74,0.5,0.66,"2026-03-09",22,"N20","nominal","2.0NRT",289.28,1.26,"N"
"52",11.87829,28.89716,311.73,0.48,0.65,"2026-03-09",22,"N20","nominal","2.0NRT",290.51,0.92,"N"
"53",11.81634,29.18203,306.97,0.5,0.66,"2026-03-09",22,"N20","nominal","2.0NRT",289.8,1.03,"N"
"54",11.79585,29.19168,303.97,0.5,0.66,"2026-03-09",22,"N20","nominal","2.0NRT",289.24,0.72,"N"
"55",11.77532,29.20139,312.87,0.51,0.66,"2026-03-09",22,"N20","nominal","2.0NRT",290.69,1.75,"N"
"56",11.76936,29.20012,329.7,0.51,0.66,"2026-03-09",22,"N20","nominal","2.0NRT",290.6,4.74,"N"
"57",11.76845,29.20467,322.4,0.51,0.66,"2026-03-09",22,"N20","nominal","2.0NRT",291.79,1.91,"N"
"58",11.76248,29.2035,308.66,0.51,0.66,"2026-03-09",22,"N20","nominal","2.0NRT",290.36,1.91,"N"
"59",11.76157,29.20804,308.84,0.51,0.66,"2026-03-09",22,"N20","nominal","2.0NRT",291.21,1.91,"N"
