"","latitude","longitude","bright_ti4","scan","track","acq_date","acq_time","satellite","confidence","version","bright_ti5","frp","daynight"
"1",61.56745,152.73619,328.35,0.59,0.7,"2022-07-15",11,1,"nominal","2.0NRT",278.78,5.55,"D"
"2",61.56955,152.70189,329,0.59,0.7,"2022-07-15",11,1,"nominal","2.0NRT",278.8,4.89,"D"
"3",61.56019,152.69644,326.82,0.59,0.7,"2022-07-15",11,1,"nominal","2.0NRT",268.72,3.35,"D"
"4",61.56786,152.69315,328.28,0.59,0.7,"2022-07-15",11,1,"nominal","2.0NRT",277,5.32,"D"
"5",61.60279,152.59258,327.81,0.59,0.7,"2022-07-15",11,1,"nominal","2.0NRT",286.25,12.95,"D"
"6",61.59891,152.58449,355.94,0.6,0.7,"2022-07-15",11,1,"low","2.0NRT",285.71,14.93,"D"
"7",61.70628,152.69421,346.44,0.58,0.7,"2022-07-15",11,1,"nominal","2.0NRT",281.63,14.41,"D"
"8",61.71114,152.68517,334.83,0.58,0.7,"2022-07-15",11,1,"nominal","2.0NRT",279.46,5.6,"D"
"9",61.70097,152.6962,348.42,0.58,0.7,"2022-07-15",11,1,"nominal","2.0NRT",277.05,11.34,"D"
"10",61.70919,152.69414,347.39,0.58,0.7,"2022-07-15",11,1,"nominal","2.0NRT",280.94,11.34,"D"
"11",61.16204,149.63693,352.64,0.73,0.76,"2022-07-15",11,1,"nominal","2.0NRT",289.34,15.62,"D"
"12",61.15702,149.62752,354.3,0.73,0.76,"2022-07-15",11,1,"nominal","2.0NRT",290.08,15.62,"D"
"13",61.17296,149.61809,328.05,0.73,0.76,"2022-07-15",11,1,"nominal","2.0NRT",287.06,10.9,"D"
"14",61.17179,149.61572,333.02,0.73,0.76,"2022-07-15",11,1,"nominal","2.0NRT",287.72,6.23,"D"
"15",63.82777,153.72719,327.59,0.43,0.62,"2022-07-15",11,1,"nominal","2.0NRT",292.05,2.4,"D"
"16",63.83193,153.71823,328.32,0.43,0.62,"2022-07-15",11,1,"nominal","2.0NRT",292.34,3.14,"D"
"17",63.82909,153.67459,331.63,0.43,0.62,"2022-07-15",11,1,"nominal","2.0NRT",291.94,3.89,"D"
"18",63.82635,153.66827,338.26,0.43,0.62,"2022-07-15",11,1,"nominal","2.0NRT",292.61,3.89,"D"
"19",68.04089,160.84775,330.22,0.39,0.44,"2022-07-15",11,1,"nominal","2.0NRT",288.46,3.3,"D"
"20",68.0387,160.84019,331.77,0.39,0.44,"2022-07-15",11,1,"nominal","2.0NRT",290.81,3.92,"D"
"21",63.83575,145.58653,367,0.63,0.72,"2022-07-15",11,1,"high","2.0NRT",290.72,22.13,"D"
"22",63.83118,145.57846,346.04,0.63,0.72,"2022-07-15",11,1,"nominal","2.0NRT",291.06,16.06,"D"
"23",63.82666,145.57047,339.86,0.63,0.72,"2022-07-15",11,1,"nominal","2.0NRT",289.73,16.06,"D"
"24",63.82211,145.56244,332.02,0.63,0.72,"2022-07-15",11,1,"nominal","2.0NRT",288.9,12.7,"D"
"25",63.83526,145.56653,345.43,0.63,0.72,"2022-07-15",11,1,"nominal","2.0NRT",288.73,26.86,"D"
"26",63.83986,145.57466,356.34,0.63,0.72,"2022-07-15",11,1,"low","2.0NRT",289.75,33.32,"D"
"27",68.68734,154.47328,332.9,0.48,0.48,"2022-07-15",11,1,"nominal","2.0NRT",290.93,3.39,"D"
"28",60.60612,28.55454,304.4,0.39,0.36,"2022-07-15",26,1,"nominal","2.0NRT",266.13,1.01,"N"
"29",60.52374,28.12761,329.89,0.4,0.37,"2022-07-15",26,1,"nominal","2.0NRT",278.28,6,"N"
"30",60.52276,28.13464,313.35,0.4,0.37,"2022-07-15",26,1,"nominal","2.0NRT",277.76,3.19,"N"
"31",59.38496,28.46532,306.54,0.39,0.36,"2022-07-15",26,1,"nominal","2.0NRT",284.08,0.77,"N"
"32",59.06256,28.13551,298.34,0.39,0.36,"2022-07-15",26,1,"nominal","2.0NRT",282.6,0.77,"N"
"33",52.77398,50.36579,297.51,0.74,0.76,"2022-07-15",26,1,"nominal","2.0NRT",283.83,0.63,"N"
"34",55.55358,37.76313,301.53,0.42,0.45,"2022-07-15",26,1,"nominal","2.0NRT",285.21,1.27,"N"
"35",55.68801,36.05252,296.46,0.55,0.43,"2022-07-15",26,1,"nominal","2.0NRT",281.45,0.61,"N"
"36",55.23324,36.68324,296.8,0.4,0.44,"2022-07-15",26,1,"nominal","2.0NRT",284.43,0.38,"N"
"37",54.24752,38.87433,299.56,0.51,0.49,"2022-07-15",26,1,"nominal","2.0NRT",284.27,0.81,"N"
"38",54.21351,38.92492,312.19,0.51,0.49,"2022-07-15",26,1,"nominal","2.0NRT",285.49,2.51,"N"
"39",55.20573,34.40445,298.89,0.51,0.41,"2022-07-15",26,1,"nominal","2.0NRT",282.93,0.63,"N"
"40",55.20462,34.40592,296.18,0.51,0.41,"2022-07-15",26,1,"nominal","2.0NRT",283.21,0.48,"N"
"41",51.15079,47.29969,301.77,0.67,0.73,"2022-07-15",26,1,"nominal","2.0NRT",284.61,0.89,"N"
"42",54.17089,37.71826,295.1,0.46,0.47,"2022-07-15",26,1,"nominal","2.0NRT",284.52,0.79,"N"
"43",54.15226,37.72701,296.1,0.46,0.47,"2022-07-15",26,1,"nominal","2.0NRT",284.2,1.29,"N"
"44",54.13578,37.55113,302.97,0.46,0.47,"2022-07-15",26,1,"nominal","2.0NRT",284.07,1.01,"N"
"45",51.44707,45.93917,297.53,0.58,0.7,"2022-07-15",26,1,"nominal","2.0NRT",282.97,0.86,"N"
"46",55.50565,28.59082,298.32,0.39,0.36,"2022-07-15",26,1,"nominal","2.0NRT",274.03,0.45,"N"
"47",52.6675,39.63203,295.04,0.61,0.53,"2022-07-15",26,1,"nominal","2.0NRT",284.23,0.59,"N"
"48",50.74707,45.44867,315.33,0.59,0.7,"2022-07-15",26,1,"nominal","2.0NRT",282.41,1.89,"N"
"49",52.5629,39.62421,295.6,0.61,0.53,"2022-07-15",26,1,"nominal","2.0NRT",284.96,1.69,"N"
"50",52.56316,39.60428,297.08,0.61,0.53,"2022-07-15",26,1,"nominal","2.0NRT",285.44,0.68,"N"
"51",52.5608,39.61249,298.35,0.61,0.53,"2022-07-15",26,1,"nominal","2.0NRT",284.27,1.69,"N"
"52",52.55843,39.62074,316.88,0.61,0.53,"2022-07-15",26,1,"nominal","2.0NRT",287.1,1.69,"N"
"53",52.54921,39.63372,322.33,0.61,0.54,"2022-07-15",26,1,"nominal","2.0NRT",284.93,3.28,"N"
"54",52.56125,39.57294,307.78,0.61,0.53,"2022-07-15",26,1,"nominal","2.0NRT",284.9,2.26,"N"
"55",52.54947,39.61381,298.46,0.61,0.53,"2022-07-15",26,1,"nominal","2.0NRT",283.99,1.45,"N"
"56",52.54472,39.63023,309.16,0.61,0.54,"2022-07-15",26,1,"nominal","2.0NRT",287.2,3.28,"N"
"57",52.5568,39.56941,336.78,0.61,0.53,"2022-07-15",26,1,"nominal","2.0NRT",284.45,3.55,"N"
"58",52.55449,39.57743,307.92,0.61,0.53,"2022-07-15",26,1,"nominal","2.0NRT",284.85,3.55,"N"
"59",52.54261,39.61856,312.15,0.61,0.53,"2022-07-15",26,1,"nominal","2.0NRT",285.18,2.77,"N"
"60",52.53786,39.63499,305.78,0.61,0.54,"2022-07-15",26,1,"nominal","2.0NRT",285.28,2.06,"N"
"61",52.55003,39.57391,295.48,0.61,0.53,"2022-07-15",26,1,"nominal","2.0NRT",284.38,3.55,"N"
"62",53.76628,34.73888,303.78,0.56,0.43,"2022-07-15",26,1,"nominal","2.0NRT",281.73,1.21,"N"
"63",53.44596,34.41713,322.96,0.56,0.43,"2022-07-15",26,1,"nominal","2.0NRT",288.31,2.31,"N"
"64",53.44226,34.41478,297.12,0.56,0.43,"2022-07-15",26,1,"nominal","2.0NRT",284.69,2.31,"N"
"65",53.1157,35.07125,335.45,0.4,0.44,"2022-07-15",26,1,"nominal","2.0NRT",285.79,3.98,"N"
"66",52.80558,32.22439,301.28,0.49,0.4,"2022-07-15",26,1,"nominal","2.0NRT",284.69,1.13,"N"
"67",51.26002,37.7647,314.49,0.57,0.52,"2022-07-15",26,1,"nominal","2.0NRT",287.84,2.9,"N"
"68",51.15771,37.94098,298.46,0.58,0.52,"2022-07-15",26,1,"nominal","2.0NRT",286.32,1.16,"N"
