"","country","system","captured","destroyed","abandoned","damaged","total","Date"
"1","Russia","(Unknown) vehicle",1,3,0,0,4,2022-03-07
"2","Russia","120mm 2B11/2S12",2,0,0,0,2,2022-03-07
"3","Russia","120mm 2B11/2S12A",1,0,0,0,1,2022-03-07
"4","Russia","120mm 2S9 Nona",2,1,1,0,4,2022-03-07
"5","Russia","122mm 2B17 Tornado-G",0,1,0,0,1,2022-03-07
"6","Russia","122mm 2S1 Gvozdika",0,1,1,0,2,2022-03-07
"7","Russia","122mm BM-21 'Grad'",6,5,2,1,14,2022-03-07
"8","Russia","122mm D-30 howitzer 2A18",2,1,3,0,6,2022-03-07
"9","Russia","152mm 2A65 Msta-B howitzer",2,3,0,1,6,2022-03-07
"10","Russia","152mm 2S19 Msta-S",3,1,5,0,9,2022-03-07
"11","Russia","152mm 2S3 Akatsiya",1,1,2,0,4,2022-03-07
"12","Russia","1V119 artillery battalion fire direction vehicle",2,0,0,0,2,2022-03-07
"13","Russia","1V13 battery fire control center",0,0,1,0,1,2022-03-07
"14","Russia","220mm BM-27 'Uragan'",0,1,1,0,2,2022-03-07
"15","Russia","220mm TOS-1A",1,0,0,0,1,2022-03-07
"16","Russia","2K22M1 Tunguska",0,2,4,1,7,2022-03-07
"17","Russia","2S1 with ZU-23 AA gun",1,0,0,0,1,2022-03-07
"18","Russia","9A310M1 TELAR (for Buk-M1-2)",0,1,0,1,2,2022-03-07
"19","Russia","9A310M2 TELAR (for Buk-M2)",0,1,0,0,1,2022-03-07
"20","Russia","9A330 Tor TLAR (for 9K330 Tor-M)",2,0,0,0,2,2022-03-07
"21","Russia","9A331 TLAR (for 9K331 Tor-M1)",1,0,0,0,1,2022-03-07
"22","Russia","9A331M TLAR (for 9K332 Tor-M2)",0,2,0,0,2,2022-03-07
"23","Russia","9A39M1 TEL (for Buk-M1-2)",0,1,0,0,1,2022-03-07
"24","Russia","9A39M2 TEL (for Buk-M2)",0,1,0,0,1,2022-03-07
"25","Russia","9K33 Osa",2,2,1,0,5,2022-03-07
"26","Russia","9K333 Verba",2,0,0,0,2,2022-03-07
"27","Russia","9K35 Strela-10",1,0,3,0,4,2022-03-07
"28","Russia","9K38 Igla",2,0,0,0,2,2022-03-07
"29","Russia","9M111 Fagot",3,0,0,0,3,2022-03-07
"30","Russia","9M113 Konkurs",13,0,0,0,13,2022-03-07
"31","Russia","9M113M Konkurs-M",1,0,0,0,1,2022-03-07
"32","Russia","9M114 Kokon",1,0,0,0,1,2022-03-07
"33","Russia","9P149 Shturm-S ATGM carrier",0,1,1,0,2,2022-03-07
"34","Russia","9S18М1(-1) (for Buk-M1-2)",0,1,0,0,1,2022-03-07
"35","Russia","9T452 transporter-loader (for BM-27 'Uragan' MRL)",0,1,0,0,1,2022-03-07
"36","Russia","9М131F Metis-M1",1,0,0,0,1,2022-03-07
"37","Russia","An-26 transport aircraft",0,1,0,0,1,2022-03-07
